id,table,diagnosisYear,ageSpecificIncidenceAge0_49,ageSpecificIncidenceAge50_54,ageSpecificIncidenceAge55_59,ageSpecificIncidenceAge60_64,ageSpecificIncidenceAge65_69,ageSpecificIncidenceAge70_74,ageSpecificIncidenceAge75_79,ageSpecificIncidenceAge80_84,ageSpecificIncidenceAge85_89,ageSpecificIncidenceAge90,ageStandardisedIncidence
955,IMD5/London*,2019,5.9419246,48.229572,101.16639,102.20182,155.17488,207.70123,227.75674,239.32533,265.25198,311.79138,60.818344
956,IMD5/London*,2020,3.821327,51.050568,84.66906,112.32997,160.27617,175.14192,218.33443,233.67128,314.03687,264.98538,57.655685
957,IMD5/London*,2021,6.8870111,65.601494,100.80342,123.22208,191.5031,237.53986,297.82968,326.40948,309.98141,364.83035,73.519844
958,IMD5/London*,2022,0,1.3916916,1.4609845,3.4614651,0,2.1932712,2.4710271,0,0,0,0.60857493
959,IMD5/London*,2023,0.48287174,1.3916916,1.4609845,1.7307326,4.1808643,2.1932712,2.4710271,3.9271128,5.7201695,9.6441317,1.309652
960,,,,,,,,,,,,,
961,IMD5/North East*,All Years,,,,,,,,,,,
962,IMD5/North East*,2016,1.4745203,13.582804,22.09782,8.2149019,11.487651,14.69076,0,9.0876045,14.887599,0,5.5963688
963,IMD5/North East*,2017,1.4873796,13.751848,0,12.099214,0,21.959682,6.4151912,52.938061,28.897558,0,5.7073903
964,IMD5/North East*,2018,0.99150282,10.497585,10.744216,23.766142,20.585451,12.428021,12.513295,25.523226,28.062298,57.339451,7.3505325
965,IMD5/North East*,2019,19.361469,128.12756,240.59724,221.62604,316.74585,410.66107,455.70221,512.8205,613.74792,889.96765,136.82439
966,IMD5/North East*,2020,12.397165,138.09143,201.98503,242.98569,327.62097,344.1864,431.10687,495.16812,702.54504,750.12933,127.82826
967,IMD5/North East*,2021,20.091196,165.51419,249.50658,293.45184,443.67285,509.47812,603.59766,694.44446,613.24609,714.28571,165.38914
968,IMD5/North East*,2022,0,3.703018,3.5464766,7.3773518,0,4.1478286,4.7826295,0,0,0,1.3310699
969,IMD5/North East*,2023,1.5231055,3.703018,3.5464766,3.6886759,8.1014299,4.1478286,4.7826295,7.9182835,12.540757,24.213076,3.1126215
970,,,,,,,,,,,,,
971,IMD5/North West*,All Years,,,,,,,,,,,
972,IMD5/North West*,2016,0.53396457,4.7153687,7.9554496,2.9564805,3.913588,4.8879042,0,2.9992201,5.0027514,0,1.9599515
973,IMD5/North West*,2017,0.53830099,4.7401791,0,4.4187827,0,7.3247194,2.1391289,17.497303,9.800559,0,1.9615452
974,IMD5/North West*,2018,0.36182722,3.5936751,3.7980933,8.6975431,7.2653298,4.1857352,4.1510139,8.4321775,9.6274185,17.427675,2.5454135
975,IMD5/North West*,2019,7.0835552,43.448349,84.118858,81.304291,112.82158,140.29683,151.56883,170.70395,210.26073,275.06876,47.163315
976,IMD5/North West*,2020,4.5600219,46.704277,70.23407,89.117874,118.00481,118.55769,145.49715,164.72276,243.19736,236.65742,44.333839
977,IMD5/North West*,2021,7.1408391,57.256279,85.044807,102.21813,156.2049,189.19702,227.29829,258.6062,244.71152,295.2756,60.256489
978,IMD5/North West*,2022,0,1.2453766,1.2036446,2.6273267,0,1.4625014,1.5962965,0,0,0,0.46002978
979,IMD5/North West*,2023,0.54301,1.2453766,1.2036446,1.3136634,2.9865456,1.4625014,1.5962965,2.5566947,4.0283599,8.044405,1.0814929
980,,,,,,,,,,,,,
981,IMD5/South East*,All Years,,,,,,,,,,,
982,IMD5/South East*,2016,0.17205574,1.7461377,3.0326617,1.1810699,1.6295403,1.9924155,0,1.1572199,1.7932073,0,0.74024493
983,IMD5/South East*,2017,0.17274529,1.7344023,0,1.7467248,0,3.019506,0.8851046,6.8076611,3.4894879,0,0.74049962
984,IMD5/South East*,2018,0.11532928,1.3053013,1.4390974,3.4263394,3.0076094,1.7320216,1.6980236,3.3028736,3.4121542,5.6673279,0.97121161
985,IMD5/South East*,2019,2.25402,15.774253,31.759377,31.81354,46.751392,58.009258,61.948895,67.434494,75.098877,88.922424,18.103636
986,IMD5/South East*,2020,1.4462428,16.890316,26.358845,34.846619,48.457741,49.206753,59.030521,65.635551,86.888092,77.569145,17.075289
987,IMD5/South East*,2021,2.2982452,21.237635,33.131413,40.599243,63.795853,78.937263,96.57032,105.84193,101.28064,122.17969,24.183563
988,IMD5/South East*,2022,0,0.45453513,0.45392233,1.0418729,0,0.61261374,0.66163385,0,0,0,0.18093082
989,IMD5/South East*,2023,0.17747341,0.45453513,0.45392233,0.52093643,1.2321569,0.61261374,0.66163385,1.0506961,1.5668578,2.6143792,0.4016161
990,,,,,,,,,,,,,
991,IMD5/South West*,All Years,,,,,,,,,,,
992,IMD5/South West*,2016,0.4714298,4.8012867,8.04883,2.9155793,3.8646348,4.6604114,0,2.6877384,4.1218414,0,1.8963675
993,IMD5/South West*,2017,0.47295487,4.7609978,0,4.3558435,0,7.0601525,2.0547805,15.789058,8.1261177,0,1.83494
994,IMD5/South West*,2018,0.31537932,3.5811489,3.823117,8.5910654,7.0459251,4.0466714,3.9373178,7.7224054,8.0032015,13.7146,2.4046347
995,IMD5/South West*,2019,6.1913705,43.430531,84.24704,80.518707,108.93246,135.09396,143.35449,158.04922,175.9118,216.74876,44.36161
996,IMD5/South West*,2020,3.9681532,46.272057,70.327751,88.212593,113.25193,114.4782,136.3894,153.78128,204.3728,187.59299,41.718075
997,IMD5/South West*,2021,6.332355,54.970562,84.272491,102.81417,161.13777,190.36513,227.99612,255.22041,239.51459,269.05829,59.521729
998,IMD5/South West*,2022,0,1.260303,1.205037,2.6258435,0,1.4159693,1.5349666,0,0,0,0.45629635
999,IMD5/South West*,2023,0.49200329,1.260303,1.205037,1.3129218,2.9440339,1.4159693,1.5349666,2.4430165,3.6667645,6.3484001,1.0191258
1000,,,,,,,,,,,,,
1001,IMD5/West Midlands*,All Years,,,,,,,,,,,
1002,IMD5/West Midlands*,2016,0.6700272,6.0971894,10.490611,3.8290703,5.2203875,6.1504397,0,3.8925653,6.3431654,0,2.5342586
1003,IMD5/West Midlands*,2017,0.67341274,6.1354399,0,5.7278142,0,9.4275589,2.7505019,22.402269,12.360939,0,2.5108004
1004,IMD5/West Midlands*,2018,0.4509044,4.6359968,4.9790878,11.386712,9.4808302,5.4326177,5.280807,10.716199,12.193635,22.239519,3.2839284
1005,IMD5/West Midlands*,2019,8.8128424,56.032001,110.34841,107.29412,147.44684,183.56549,190.88701,215.56149,267.57047,351.06384,60.74493
1006,IMD5/West Midlands*,2020,5.646349,59.908562,92.002159,118.25791,153.69762,156.20792,180.91255,207.93507,309.12802,298.01666,57.029217
1007,IMD5/West Midlands*,2021,8.3374262,77.214775,122.31857,153.23322,243.11612,303.569,372.94144,423.63556,398.44165,478.54523,92.456024
1008,IMD5/West Midlands*,2022,0,1.5878309,1.5672998,3.4697526,0,1.9034929,2.0871599,0,0,0,0.59986883
1009,IMD5/West Midlands*,2023,0.67926478,1.5878309,1.5672998,1.7348763,3.9301224,1.9034929,2.0871599,3.2941332,5.0913906,9.9780483,1.3847892
1010,,,,,,,,,,,,,
1011,IMD5/Yorkshire and The Humber*,All Years,,,,,,,,,,,
1012,IMD5/Yorkshire and The Humber*,2016,0.64063686,6.1218243,10.309278,3.8318582,5.1435919,6.5496464,0,3.8114114,6.5556574,0,2.5233307
1013,IMD5/Yorkshire and The Humber*,2017,0.64688075,6.1636133,0,5.6806345,0,9.7801428,2.8804333,22.081554,12.661433,0,2.5130732
1014,IMD5/Yorkshire and The Humber*,2018,0.4343926,4.6673717,4.9450278,11.177347,9.4177923,5.5435448,5.5864363,10.633396,12.389271,22.980581,3.2838562
1015,IMD5/Yorkshire and The Humber*,2019,8.5299225,56.506931,109.58551,104.47214,145.57993,184.15208,206.16348,216.681,269.12265,362.43823,61.089409
1016,IMD5/Yorkshire and The Humber*,2020,5.4848857,60.819462,91.324203,114.44717,151.42691,155.64063,195.89386,210.39772,303.25571,312.02927,57.281384
1017,IMD5/Yorkshire and The Humber*,2021,9.3409166,76.785255,112.9753,134.16902,200,231.89738,275.73779,309.37363,288.53552,312.63025,75.279518
1018,IMD5/Yorkshire and The Humber*,2022,0,1.6295934,1.57923,3.4014184,0,1.9131799,2.1441743,0,0,0,0.60223258
1019,IMD5/Yorkshire and The Humber*,2023,0.66649044,1.6295934,1.57923,1.7007092,3.8745422,1.9131799,2.1441743,3.4594893,5.1525145,10.217636,1.3858004
1020,,,,,,,,,,,,,
1021,IMD1/Emergency route*,All Years,,,,,,,,,,,
1022,IMD1/Emergency route*,2016,0.12813953,0.43313295,0.50559866,1.4255167,1.3121207,1.76413,0,0.99736696,2.4115949,0,0.44836056
1023,IMD1/Emergency route*,2017,0.063794322,0.71350187,1.7947903,0.59537631,2.4756708,0.8207463,1.1155485,1.4910314,3.2039473,1.3880792,0.56228054
1024,IMD1/Emergency route*,2018,0.063589238,0.28282061,1.2693135,0.38569385,1.1360615,1.57793,1.8577554,0.98297006,0.80345809,1.4034693,0.43058479
1025,IMD1/Emergency route*,2019,0,0,0,0,0,0,0,0,0,0,0
1026,IMD1/Emergency route*,2020,0,0,0,0,0,0,0,0,0,0,0
1027,IMD1/Emergency route*,2021,0,0,0,0,0,0,0,0,0,0,0
1028,IMD1/Emergency route*,2022,0.051164247,0.56144291,0.73771882,1.3836617,1.0996431,1.5783119,1.710665,0.53585398,0.92444509,2.9686804,0.46625501
1029,IMD1/Emergency route*,2023,0.11511956,0.70180362,1.0328064,0.86478859,2.4192147,3.1566238,1.026399,0.53585398,0.92444509,0,0.5975759
1030,,,,,,,,,,,,,
1031,IMD1/Non-emergency route*,All Years,,,,,,,,,,,
1032,IMD1/Non-emergency route*,2016,1.0379303,9.5289249,14.325295,20.160879,19.68181,22.051624,18.798933,17.453922,17.68503,12.562814,7.2052488
1033,IMD1/Non-emergency route*,2017,1.1738155,13.699236,16.968925,20.441254,25.206831,22.160149,14.873981,17.892378,17.62171,19.433109,7.9997377
1034,IMD1/Non-emergency route*,2018,0.99199206,10.322953,14.755768,23.527325,19.085835,17.357231,20.435308,12.77861,12.85533,14.034694,7.086123
1035,IMD1/Non-emergency route*,2019,0,0,0,0,0,0,0,0,0,0,0
1036,IMD1/Non-emergency route*,2020,0,0,0,0,0,0,0,0,0,0,0
1037,IMD1/Non-emergency route*,2021,0,0,0,0,0,0,0,0,0,0,0
1038,IMD1/Non-emergency route*,2022,0.79304588,9.2638083,12.836308,16.085068,21.553003,18.676691,18.133049,21.970013,14.791121,8.9060411,6.6364379
1039,IMD1/Non-emergency route*,2023,0.9081654,8.5620041,14.459289,17.295771,18.474003,16.572275,20.870113,15.539765,21.262238,25.233784,6.770175
1040,,,,,,,,,,,,,
1041,IMD2/Emergency route*,All Years,,,,,,,,,,,
1042,IMD2/Emergency route*,2016,0.052184794,0.53819865,0.77845365,1.0970666,0.37009007,1.6886024,1.5635309,1.2612143,1.3238983,2.2578461,0.42722371
1043,IMD2/Emergency route*,2017,0.065061361,0.66518819,0.45223767,0.71442479,0.76814061,0.66671109,0.93245018,1.6590351,4.587697,2.247292,0.40415707
1044,IMD2/Emergency route*,2018,0.10381637,0.39692777,1.3165344,1.5711988,0.39027816,1.0638275,1.2199473,0.81440187,1.3141123,1.1223848,0.44570974
1045,IMD2/Emergency route*,2019,0,0,0,0,0,0,0,0,0,0,0
1046,IMD2/Emergency route*,2020,0,0,0,0,0,0,0,0,0,0,0
1047,IMD2/Emergency route*,2021,0,0,0,0,0,0,0,0,0,0,0
1048,IMD2/Emergency route*,2022,0.054034237,1.074808,1.0951643,0.79200768,1.9408921,0.43254372,1.0535077,2.0523345,2.0285621,2.2824275,0.5019812
1049,IMD2/Emergency route*,2023,0.094559915,0.80610597,0.13689554,0.79200768,0.58226764,0.86508745,0.52675384,2.4628015,1.3523748,0,0.34873253
1050,,,,,,,,,,,,,
1051,IMD2/Non-emergency route*,All Years,,,,,,,,,,,
1052,IMD2/Non-emergency route*,2016,0.9654187,9.1493769,14.167856,16.638844,19.614773,17.127253,15.635309,18.918215,21.844322,12.418153,6.6339922
1053,IMD2/Non-emergency route*,2017,1.0149572,7.4501076,12.059671,13.752677,15.170777,18.223436,17.094921,14.101798,13.107706,10.112814,5.8293209
1054,IMD2/Non-emergency route*,2018,0.88243914,9.790885,9.5083036,14.315368,15.025709,18.510599,20.434118,16.288038,22.339909,15.713387,6.169354
1055,IMD2/Non-emergency route*,2019,0,0,0,0,0,0,0,0,0,0,0
1056,IMD2/Non-emergency route*,2020,0,0,0,0,0,0,0,0,0,0,0
1057,IMD2/Non-emergency route*,2021,0,0,0,0,0,0,0,0,0,0,0
1058,IMD2/Non-emergency route*,2022,0.81051356,5.5083909,11.362329,11.880116,17.273939,15.787846,20.5434,16.829144,18.933247,17.118206,5.7684631
1059,IMD2/Non-emergency route*,2023,0.66191941,6.1801457,8.6244192,12.830524,14.75078,18.166836,18.173008,17.239611,22.314184,18.25942,5.5616522
1060,,,,,,,,,,,,,
1061,IMD3/Emergency route*,All Years,,,,,,,,,,,
1062,IMD3/Emergency route*,2016,0.071385719,0.37982762,0,0.32587886,0.15579455,1.3822737,0.52875924,1.7639173,2.2541687,2.8730679,0.29515985
1063,IMD3/Emergency route*,2017,0.014269201,0.12525897,0.55692464,0.64014751,0.81692272,0.36112231,0.78200144,1.3850319,0.55069721,0.94576955,0.23869216
1064,IMD3/Emergency route*,2018,0.042721167,0.50010753,0.54242951,0.62808841,0.6689713,1.0351127,1.5179344,1.349892,0.5449205,0,0.3251982
1065,IMD3/Emergency route*,2019,0,0,0,0,0,0,0,0,0,0,0
1066,IMD3/Emergency route*,2020,0,0,0,0,0,0,0,0,0,0,0
1067,IMD3/Emergency route*,2021,0,0,0,0,0,0,0,0,0,0,0
1068,IMD3/Emergency route*,2022,0.044498581,0,0.76551217,0.57432318,1.5308752,0.89495069,0.41454557,0.65623903,1.5603626,0.90941334,0.30579486
1069,IMD3/Emergency route*,2023,0.074164301,0.39214918,1.0206828,0.57432318,0.68038899,0.89495069,1.036364,1.6405976,0.52012086,1.8188267,0.36412296
1070,,,,,,,,,,,,,
1071,IMD3/Non-emergency route*,All Years,,,,,,,,,,,
1072,IMD3/Non-emergency route*,2016,0.89946008,4.6845403,12.055576,12.220457,15.579454,16.784752,15.334017,16.228039,16.906265,28.730679,5.6494985
1073,IMD3/Non-emergency route*,2017,0.98457485,6.3882074,9.0500259,12.002766,14.541224,16.972748,13.033358,18.697931,16.520916,12.295005,5.3641338
1074,IMD3/Non-emergency route*,2018,0.88290411,5.8762636,8.6788721,12.718791,13.379425,16.216766,13.155432,17.548595,15.802695,24.368526,5.2695284
1075,IMD3/Non-emergency route*,2019,0,0,0,0,0,0,0,0,0,0,0
1076,IMD3/Non-emergency route*,2020,0,0,0,0,0,0,0,0,0,0,0
1077,IMD3/Non-emergency route*,2021,0,0,0,0,0,0,0,0,0,0,0
1078,IMD3/Non-emergency route*,2022,0.78614157,5.0979395,8.4206333,11.486464,13.60778,18.435984,15.545459,20.015291,22.365198,17.278852,5.3736253
1079,IMD3/Non-emergency route*,2023,0.7119773,7.1894016,7.399951,9.4763317,13.437682,16.109112,15.960005,18.702812,23.92556,8.18472,5.0783701
1080,,,,,,,,,,,,,
1081,IMD4/Emergency route*,All Years,,,,,,,,,,,
1082,IMD4/Emergency route*,2016,0.030808941,0.24554549,0.27780363,0.46962175,0.1447859,0.54150552,0.73481327,0.65489388,1.5935069,2.7367268,0.21428943
1083,IMD4/Emergency route*,2017,0.12346921,0,0.2703945,0.30847299,0.61233145,0.82108414,0.96508563,1.60042,0.51643825,2.6909933,0.2994031
1084,IMD4/Emergency route*,2018,0.046298776,0.1219655,0.26340294,0.15159026,0.63061148,0.78335893,1.3973734,0.6215871,1.0151511,0.88352489,0.23234515
1085,IMD4/Emergency route*,2019,0,0,0,0,0,0,0,0,0,0,0
1086,IMD4/Emergency route*,2020,0,0,0,0,0,0,0,0,0,0,0
1087,IMD4/Emergency route*,2021,0,0,0,0,0,0,0,0,0,0,0
1088,IMD4/Emergency route*,2022,0.063978322,0.12886399,0.62372684,0.27890229,0,1.1532581,0.36946449,0.8876186,0.92560881,0.83164924,0.22215621
1089,IMD4/Emergency route*,2023,0.063978322,0.12886399,0.37423608,0.27890229,0.48483202,0.49425349,1.1083935,0.59174573,1.8512176,0.83164924,0.23569931
1090,,,,,,,,,,,,,
1091,IMD4/Non-emergency route*,All Years,,,,,,,,,,,
1092,IMD4/Non-emergency route*,2016,0.92426825,6.3841829,7.2228942,11.584002,10.279799,15.523157,19.839958,18.664474,15.403901,15.508119,5.1631212
1093,IMD4/Non-emergency route*,2017,0.95688641,5.2385297,8.9230185,10.796555,13.165126,13.629996,13.75247,22.085794,16.526024,17.939955,5.1133027
1094,IMD4/Non-emergency route*,2018,0.91054261,3.9028959,9.7459087,8.7922354,12.296924,13.16043,14.905316,16.782852,19.287872,24.738697,4.876493
1095,IMD4/Non-emergency route*,2019,0,0,0,0,0,0,0,0,0,0,0
1096,IMD4/Non-emergency route*,2020,0,0,0,0,0,0,0,0,0,0,0
1097,IMD4/Non-emergency route*,2021,0,0,0,0,0,0,0,0,0,0,0
1098,IMD4/Non-emergency route*,2022,0.76773983,4.1236477,7.9837031,11.853348,11.312747,11.862083,13.854918,19.231737,12.495719,14.138037,4.5662298
1099,IMD4/Non-emergency route*,2023,0.65577775,4.8968315,6.3620133,8.2276182,10.989526,13.344844,14.77858,18.048244,13.421328,19.127934,4.3566051
1100,,,,,,,,,,,,,
1101,IMD5/Emergency route*,All Years,,,,,,,,,,,
1102,IMD5/Emergency route*,2016,0,0,0.13787417,0.15613461,0.56994265,0.52983779,1.1948745,0.94306409,1.5070454,1.7607493,0.18775339
1103,IMD5/Emergency route*,2017,0.032208301,0.11967836,0,0,0.30289721,0,0.23548307,0.3064411,0.4898071,2.5643437,0.094754785
1104,IMD5/Emergency route*,2018,0.032289531,0,0.13110662,0.30465004,0.47037941,0.30458555,1.1326311,0.89117295,1.4387248,0.83998322,0.18516296
1105,IMD5/Emergency route*,2019,0,0,0,0,0,0,0,0,0,0,0
1106,IMD5/Emergency route*,2020,0,0,0,0,0,0,0,0,0,0,0
1107,IMD5/Emergency route*,2021,0,0,0,0,0,0,0,0,0,0,0
1108,IMD5/Emergency route*,2022,0.033149425,0.87978274,0,0.41980588,0.32345763,0.48056975,0.35117909,1.4110184,1.7098694,1.5415447,0.23919906
1109,IMD5/Emergency route*,2023,0,0.2513665,0.37407929,0.69967645,0.16172881,0.80094963,1.4047164,1.4110184,0.85493469,1.5415447,0.25253755
1110,,,,,,,,,,,,,
1111,IMD5/Non-emergency route*,All Years,,,,,,,,,,,
1112,IMD5/Non-emergency route*,2016,0.81748939,3.7219265,7.7209539,11.241692,12.396253,14.129008,19.595942,14.774671,20.596287,20.248617,4.9884462
1113,IMD5/Non-emergency route*,2017,0.95014495,4.1887422,6.8466392,8.0503454,9.6927109,14.211259,14.59995,12.564084,19.102478,21.36953,4.4428473
1114,IMD5/Non-emergency route*,2018,0.61350107,3.2422619,6.1620111,7.1592755,11.602693,13.554056,16.083363,16.932285,20.621721,20.159597,4.3246956
1115,IMD5/Non-emergency route*,2019,0,0,0,0,0,0,0,0,0,0,0
1116,IMD5/Non-emergency route*,2020,0,0,0,0,0,0,0,0,0,0,0
1117,IMD5/Non-emergency route*,2021,0,0,0,0,0,0,0,0,0,0,0
1118,IMD5/Non-emergency route*,2022,0.54696554,5.0273299,7.6062789,9.0957937,11.159288,12.334624,15.627469,16.367813,16.671227,20.810852,4.4486809
1119,IMD5/Non-emergency route*,2023,0.5303908,3.7704973,4.3642583,8.8159237,11.967933,12.494814,13.169215,18.907646,16.243759,19.269308,4.1188917
1120,,,,,,,,,,,,,
1121,IMD1/Early Stage*,All Years,,,,,,,,,,,
1122,IMD1/Early Stage*,2016,0.56381392,4.7644625,5.0559864,7.9421649,8.7474718,9.1146717,9.9523764,6.9815688,10.450245,4.1876049,3.1907165
1123,IMD1/Early Stage*,2017,0.63794321,6.2788167,7.9949746,8.1368093,10.577867,10.122538,6.6932912,5.4671154,6.4078946,4.1642375,3.4666243
1124,IMD1/Early Stage*,2018,0.43240681,4.9493608,6.3465672,9.0638056,7.0435815,8.6786156,9.2887774,2.4574251,6.4276648,1.4034693,2.9313428
1125,IMD1/Early Stage*,2019,0.44492707,2.6737328,4.787571,6.1893492,8.5883856,12.583979,10.646148,4.8480616,3.210479,1.3760836,2.8516455
1126,IMD1/Early Stage*,2020,0.35601461,3.8058884,5.1296673,6.9075713,8.3178034,6.5491018,7.3085523,8.3298626,4.8788023,8.4045382,2.6742141
1127,IMD1/Early Stage*,2021,0.70857322,3.4115362,6.0797586,7.6354761,7.4996119,7.1830273,6.7720141,5.862433,5.0015559,4.7523999,2.8359687
1128,IMD1/Early Stage*,2022,0,0,0,0,0,0,0,0,0,0,0
1129,IMD1/Early Stage*,2023,0,0,0,0,0,0,0,0,0,0,0
1130,,,,,,,,,,,,,
1131,IMD1/Advanced Stage*,All Years,,,,,,,,,,,
1132,IMD1/Advanced Stage*,2016,0.5125581,4.7644625,8.9322433,11.200489,11.153026,11.760866,7.740737,8.9763021,10.450245,8.3752098,3.8748004
1133,IMD1/Advanced Stage*,2017,0.53587234,7.8485208,9.463439,11.113691,14.628964,11.216866,8.1806889,12.922273,13.616776,11.104633,4.4892421
1134,IMD1/Advanced Stage*,2018,0.52143174,5.0907712,8.5678654,13.884978,11.81504,9.7305689,11.146532,9.8297005,6.4276648,9.8242855,4.0870547
1135,IMD1/Advanced Stage*,2019,0.47035146,4.3624063,9.1118288,8.064909,13.108589,14.38169,11.013256,10.18093,9.6314373,6.8804183,4.0168324
1136,IMD1/Advanced Stage*,2020,0.59759593,5.9202709,6.7892656,10.543135,9.6666355,8.8160992,10.597401,6.369895,11.383872,5.6030254,3.6352444
1137,IMD1/Advanced Stage*,2021,0.67842114,6.2982206,7.4014449,12.064053,9.9994822,9.9861593,12.142922,8.2763758,8.891655,2.85144,3.9634445
1138,IMD1/Advanced Stage*,2022,0,0,0,0,0,0,0,0,0,0,0
1139,IMD1/Advanced Stage*,2023,0,0,0,0,0,0,0,0,0,0,0
1140,,,,,,,,,,,,,
1141,IMD2/Early Stage*,All Years,,,,,,,,,,,
1142,IMD2/Early Stage*,2016,0.58707893,4.9783373,5.7605572,5.485333,8.3270264,6.5131807,7.1922426,7.567286,8.6053391,2.2578461,2.8223338
1143,IMD2/Early Stage*,2017,0.44241723,3.3259408,4.5223765,6.0726104,6.3371601,9.5561924,6.5271516,8.7099342,7.2092385,6.7418761,2.6417468
1144,IMD2/Early Stage*,2018,0.46717367,3.57235,4.5347295,6.459373,7.0250072,9.7872133,8.2346449,6.9224162,9.1987858,6.7343092,2.8008673
1145,IMD2/Early Stage*,2019,0.42834753,2.1119184,4.2697091,4.9425049,8.0168943,7.8946929,7.4126129,5.5954566,6.5105863,6.5400085,2.4183214
1146,IMD2/Early Stage*,2020,0.35035834,3.7091939,4.3044677,4.4565854,6.8461266,7.345005,5.4982419,5.9899607,3.9087949,4.3626208,2.2362716
1147,IMD2/Early Stage*,2021,0.41544986,3.0157487,3.1966414,6.0303092,7.6552372,6.4871993,5.0750628,6.3801055,2.2906883,4.956089,2.2259514
1148,IMD2/Early Stage*,2022,0,0,0,0,0,0,0,0,0,0,0
1149,IMD2/Early Stage*,2023,0,0,0,0,0,0,0,0,0,0,0
1150,,,,,,,,,,,,,
1151,IMD2/Advanced Stage*,All Years,,,,,,,,,,,
1152,IMD2/Advanced Stage*,2016,0.36529356,4.4401388,8.2516088,11.153511,9.9924316,10.855301,8.4430676,10.089714,12.577034,7.9024611,3.6891985
1153,IMD2/Advanced Stage*,2017,0.57253999,4.1241665,7.2358027,7.6800661,8.6415815,8.4450073,9.0136852,5.3918643,7.2092385,3.3709381,3.1038015
1154,IMD2/Advanced Stage*,2018,0.46717367,5.9539165,5.4124188,7.8559942,7.4152851,9.1489162,10.979527,7.7368178,7.8846736,7.8566937,3.2196419
1155,IMD2/Advanced Stage*,2019,0.33748594,3.0358827,4.6966801,7.3285418,7.2347579,6.4404078,9.4881439,7.5938339,7.8127036,6.5400085,2.6352692
1156,IMD2/Advanced Stage*,2020,0.46714443,3.7091939,5.9707131,9.5734053,10.758199,9.9973679,11.285865,10.382599,9.771987,8.7252417,3.5435035
1157,IMD2/Advanced Stage*,2021,0.56382483,4.3269439,6.3932829,7.5765424,8.9311104,10.271399,10.875134,9.2157078,13.74413,8.9209604,3.4825258
1158,IMD2/Advanced Stage*,2022,0,0,0,0,0,0,0,0,0,0,0
1159,IMD2/Advanced Stage*,2023,0,0,0,0,0,0,0,0,0,0,0
1160,,,,,,,,,,,,,
1161,IMD3/Early Stage*,All Years,,,,,,,,,,,
1162,IMD3/Early Stage*,2016,0.58536291,2.2789657,5.4537129,5.0511222,6.6991653,7.8987069,7.4026289,7.0556693,3.9447954,8.6192036,2.555408
1163,IMD3/Early Stage*,2017,0.55649883,2.8809564,5.5692468,4.961143,6.8621507,9.3891792,6.2560115,7.2714176,6.0576692,5.6746173,2.6273153
1164,IMD3/Early Stage*,2018,0.64081752,3.6257796,4.4750433,4.3966188,7.3586841,9.8335714,6.5777159,7.4244061,5.9941258,3.7490041,2.671905
1165,IMD3/Early Stage*,2019,0.52692509,3.768707,3.1623178,4.7572937,5.7460384,6.0807009,5.8127708,10.524757,8.5846119,7.2354321,2.3930426
1166,IMD3/Early Stage*,2020,0.36995226,2.2840466,4.7551179,4.4939847,4.5738368,5.1756897,5.1354237,5.5370626,6.9407368,5.3879309,1.9764552
1167,IMD3/Early Stage*,2021,0.32278994,3.8239858,4.9709334,5.9456658,5.7332873,7.7085152,7.6082397,10.451769,6.3333044,6.9991603,2.575803
1168,IMD3/Early Stage*,2022,0,0,0,0,0,0,0,0,0,0,0
1169,IMD3/Early Stage*,2023,0,0,0,0,0,0,0,0,0,0,0
1170,,,,,,,,,,,,,
1171,IMD3/Advanced Stage*,All Years,,,,,,,,,,,
1172,IMD3/Advanced Stage*,2016,0.3283743,3.2918394,4.7361193,5.8658195,7.9455218,8.293642,7.1382494,8.4668036,11.270844,14.365339,2.752136
1173,IMD3/Advanced Stage*,2017,0.44234523,3.5072513,4.037704,6.7215486,6.5353818,5.958518,5.47401,10.041482,8.8111553,3.7830782,2.4784493
1174,IMD3/Advanced Stage*,2018,0.29904819,2.0004301,5.1530805,7.8511052,5.6862559,7.0732703,6.5777159,8.7742977,7.6288872,15.933268,2.5511057
1175,IMD3/Advanced Stage*,2019,0.34178925,3.8943305,4.6117134,6.4453654,8.6190577,7.2630596,8.4769573,12.169251,8.5846119,7.2354321,2.8492122
1176,IMD3/Advanced Stage*,2020,0.22766292,3.8067443,3.9840176,7.3401752,6.437252,8.6818018,9.8039904,10.096996,11.21196,7.183908,2.7774601
1177,IMD3/Advanced Stage*,2021,0.27877313,3.6921244,5.6426811,5.0068765,10.356906,10.828629,13.007635,13.335015,14.393874,11.99856,3.396323
1178,IMD3/Advanced Stage*,2022,0,0,0,0,0,0,0,0,0,0,0
1179,IMD3/Advanced Stage*,2023,0,0,0,0,0,0,0,0,0,0,0
1180,,,,,,,,,,,,,
1181,IMD4/Early Stage*,All Years,,,,,,,,,,,
1182,IMD4/Early Stage*,2016,0.52375197,3.5604098,3.6114471,4.5396767,5.6466498,8.1225824,8.5728216,8.8410673,7.967535,5.4734535,2.530724
1183,IMD4/Early Stage*,2017,0.60191244,2.9238305,5.0022984,5.5525136,7.3479772,5.0907216,6.7555995,9.9226036,10.845202,8.0729799,2.6505067
1184,IMD4/Early Stage*,2018,0.47842067,1.951448,3.8193424,5.4572492,5.3601975,7.2069025,5.5894938,8.0806322,5.0757556,4.4176245,2.2051942
