id,table,diagnosisYear,ageSpecificIncidenceAge0_49,CILowerBound0_49,CIUpperBound0_49,ageSpecificIncidenceAge50_54,CILowerBound50_54,CIUpperBound50_54,ageSpecificIncidenceAge55_59,CILowerBound55_59,CIUpperBound55_59,ageSpecificIncidenceAge60_64,CILowerBound60_64,CIUpperBound60_64,ageSpecificIncidenceAge65_69,CILowerBound65_69,CIUpperBound65_69,ageSpecificIncidenceAge70_74,CILowerBound70_74,CIUpperBound70_74,ageSpecificIncidenceAge75_79,CILowerBound75_79,CIUpperBound75_79,ageSpecificIncidenceAge80_84,CILowerBound80_84,CIUpperBound80_84,ageSpecificIncidenceAge85_89,CILowerBound85_89,CIUpperBound85_89,ageSpecificIncidenceAge90,CILowerBound90,CIUpperBound90,ageStandardisedIncidence,CILowerBoundAS,CIUpperBoundAS
26,Female~,2022,2.020422,1.8114197,2.2294242,13.864036,12.207237,15.520834,18.724241,16.816324,20.632158,20.686069,18.572531,22.799608,26.6078,23.993692,29.221907,27.366137,24.603659,30.128614,26.76107,23.957409,29.564732,31.13044,27.41025,34.850632,25.491163,21.45192,29.530407,28.055521,22.472252,33.63879,10.004542,9.6454735,10.363611
27,Female~,2023,1.6996307,1.5079373,1.8913242,13.451722,11.819746,15.083698,19.280909,17.344839,21.216978,23.04698,20.81609,25.27787,25.404432,22.850121,27.958744,27.511314,24.741518,30.281111,27.372751,24.53723,30.208273,28.931635,25.345232,32.518036,27.990297,23.757681,32.222916,30.947844,25.083836,36.811852,9.9348164,9.5773726,10.29226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,IMD1 ~, All Years,4.0978293,3.9265919,4.2690668,40.639233,38.871349,42.407116,61.796062,59.519672,64.072456,79.534431,76.7099,82.358963,89.0951,85.846764,92.343437,85.363976,81.955795,88.772156,76.06237,72.310616,79.814125,63.063408,59.034023,67.092789,55.531303,50.687927,60.37468,41.198402,35.741898,46.654907,29.165695,28.742941,29.588449
29,IMD1 ~,2016,3.7673023,3.3366637,4.1979408,38.981964,34.332127,43.631802,55.110252,49.136948,61.083557,69.239388,61.879524,76.599251,78.289871,70.179886,86.399857,82.032043,72.406227,91.65786,69.666634,59.734329,79.598938,56.351234,45.961121,66.741348,52.251225,39.548531,64.953918,39.084309,24.607277,53.56134,26.540924,25.430122,27.651726
30,IMD1 ~,2017,3.4704111,3.0579789,3.8828433,40.384205,35.679047,45.089363,56.454311,50.505707,62.402916,74.223579,66.70108,81.746078,89.799339,80.987984,98.610695,80.159554,70.980934,89.338173,64.701813,55.087952,74.315674,60.635281,49.875546,71.395012,45.65625,33.803505,57.508995,41.642376,26.740843,56.543907,27.218954,26.103369,28.334539
31,IMD1 ~,2018,3.6245863,3.2037704,4.0454021,38.322193,33.759495,42.884892,57.277767,51.369114,63.18642,76.367378,68.845673,83.889084,79.069885,70.762245,87.377525,79.948456,70.961151,88.93576,70.966255,60.901775,81.030731,54.063351,43.960064,64.166641,53.028233,40.234676,65.821785,39.297142,24.741278,53.853008,26.923544,25.821878,28.025209
32,IMD1 ~,2019,3.7500994,3.3221545,4.1780443,32.084793,27.920053,36.249535,58.0686,52.199066,63.938133,71.271294,64.105263,78.437325,83.397743,74.888374,91.907112,84.749245,75.60527,93.893219,76.358574,65.981323,86.735825,60.115967,49.534763,70.697166,49.762424,37.375549,62.1493,35.778175,22.025488,49.530865,27.07003,25.971239,28.168821
33,IMD1 ~,2020,3.2041314,2.8085225,3.5997403,36.367378,31.929676,40.80508,57.784195,51.997032,63.571358,62.713474,56.095768,69.331177,71.488144,63.630787,79.345505,75.818451,67.253052,84.38385,64.680687,55.15176,74.209618,52.919128,42.938522,62.899734,54.479961,41.43462,67.525307,39.22118,24.693453,53.748909,24.861404,23.816895,25.905914
34,IMD1 ~,2021,4.4172754,3.9114778,4.9230728,35.42749,31.201635,39.653347,49.166744,44.170357,54.163132,74.216827,67.618401,80.815254,71.960556,64.934715,78.986397,65.523224,58.8825,72.163948,59.547024,52.238224,66.85582,45.864914,38.070007,53.659821,40.568176,31.26181,49.874542,27.563919,17.531677,37.596161,24.469967,23.543966,25.395967
