diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb
2020,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,SUPPRESSED; n<10,0.2,0,0.3
2023,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,SUPPRESSED; n<10,0.2,0,0.3
allyears,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,20,0.1,0.1,0.2
2016,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2017,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2018,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,SUPPRESSED; n<10,0.2,0,0.3
2019,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,SUPPRESSED; n<10,0.2,0,0.3
2020,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2021,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,SUPPRESSED; n<10,0.2,0,0.3
2022,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,0,0.1,0.1,0.1
2016,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,SUPPRESSED; n<10,0.2,0,0.3
2017,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.1
2018,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,SUPPRESSED; n<10,0.2,0,0.3
2019,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2020,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2021,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2022,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,0,0.1,0.1,0.2
2016,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,10,0.2,0.1,0.3
