diagnosisYear,ageBand,sex,dep,region,stage,route,rate,ciLb,ciUb
2021,all ages,All Persons,IMD1,London,All Stages,All Routes,20.34,17.8,22.87
2022,all ages,All Persons,IMD1,London,All Stages,All Routes,19.28,16.37,22.19
2023,all ages,All Persons,IMD1,London,All Stages,All Routes,17.39,14.67,20.1
allyears,all ages,All Persons,IMD1,London,All Stages,All Routes,22.88,21.72,24.05
2016,0-49,Male,IMD1,London,All Stages,All Routes,4.57,4.57,4.57
2017,0-49,Male,IMD1,London,All Stages,All Routes,2.75,2.75,2.75
2018,0-49,Male,IMD1,London,All Stages,All Routes,2.37,2.37,2.37
2019,0-49,Male,IMD1,London,All Stages,All Routes,3.49,3.49,3.49
2020,0-49,Male,IMD1,London,All Stages,All Routes,2.02,2.02,2.02
2021,0-49,Male,IMD1,London,All Stages,All Routes,5,5,5
2022,0-49,Male,IMD1,London,All Stages,All Routes,3.28,3.28,3.28
2023,0-49,Male,IMD1,London,All Stages,All Routes,3.85,3.85,3.85
allyears,0-49,Male,IMD1,London,All Stages,All Routes,0.03,-0.03,0.08
2016,50-54,Male,IMD1,London,All Stages,All Routes,55.76,55.76,55.76
2017,50-54,Male,IMD1,London,All Stages,All Routes,43.19,43.19,43.19
2018,50-54,Male,IMD1,London,All Stages,All Routes,29.06,29.06,29.06
2019,50-54,Male,IMD1,London,All Stages,All Routes,28.94,28.94,28.94
2020,50-54,Male,IMD1,London,All Stages,All Routes,39.69,39.69,39.69
2021,50-54,Male,IMD1,London,All Stages,All Routes,38.16,38.16,38.16
2022,50-54,Male,IMD1,London,All Stages,All Routes,36.64,36.64,36.64
2023,50-54,Male,IMD1,London,All Stages,All Routes,41.22,41.21,41.22
allyears,50-54,Male,IMD1,London,All Stages,All Routes,3.22,1.23,5.22
2016,55-59,Male,IMD1,London,All Stages,All Routes,52.44,52.44,52.44
2017,55-59,Male,IMD1,London,All Stages,All Routes,61.72,61.72,61.72
2018,55-59,Male,IMD1,London,All Stages,All Routes,34.94,34.94,34.94
2019,55-59,Male,IMD1,London,All Stages,All Routes,74.86,74.86,74.86
2020,55-59,Male,IMD1,London,All Stages,All Routes,60.31,60.31,60.31
2021,55-59,Male,IMD1,London,All Stages,All Routes,54.93,54.93,54.93
2022,55-59,Male,IMD1,London,All Stages,All Routes,76.44,76.44,76.44
2023,55-59,Male,IMD1,London,All Stages,All Routes,64.11,64.11,64.11
allyears,55-59,Male,IMD1,London,All Stages,All Routes,4.88,2.23,7.53
2016,60-64,Male,IMD1,London,All Stages,All Routes,79.45,79.45,79.45
2017,60-64,Male,IMD1,London,All Stages,All Routes,83.19,83.18,83.19
2018,60-64,Male,IMD1,London,All Stages,All Routes,68.43,68.43,68.44
2019,60-64,Male,IMD1,London,All Stages,All Routes,82.16,82.15,82.16
2020,60-64,Male,IMD1,London,All Stages,All Routes,94.51,94.51,94.51
2021,60-64,Male,IMD1,London,All Stages,All Routes,118.96,118.96,118.96
2022,60-64,Male,IMD1,London,All Stages,All Routes,71.56,71.56,71.56
2023,60-64,Male,IMD1,London,All Stages,All Routes,52.89,52.89,52.89
allyears,60-64,Male,IMD1,London,All Stages,All Routes,7.9,4.03,11.77
2016,65-69,Male,IMD1,London,All Stages,All Routes,92.94,92.94,92.94
2017,65-69,Male,IMD1,London,All Stages,All Routes,113.13,113.13,113.14
2018,65-69,Male,IMD1,London,All Stages,All Routes,85.29,85.29,85.29
2019,65-69,Male,IMD1,London,All Stages,All Routes,116.61,116.6,116.61
2020,65-69,Male,IMD1,London,All Stages,All Routes,97.92,97.92,97.92
2021,65-69,Male,IMD1,London,All Stages,All Routes,99.85,99.85,99.85
2022,65-69,Male,IMD1,London,All Stages,All Routes,95.13,95.13,95.13
2023,65-69,Male,IMD1,London,All Stages,All Routes,72.48,72.48,72.48
allyears,65-69,Male,IMD1,London,All Stages,All Routes,9.04,4.12,13.95
2016,70-74,Male,IMD1,London,All Stages,All Routes,88.31,88.31,88.32
2017,70-74,Male,IMD1,London,All Stages,All Routes,82.85,82.85,82.85
2018,70-74,Male,IMD1,London,All Stages,All Routes,112.43,112.43,112.44
2019,70-74,Male,IMD1,London,All Stages,All Routes,128.74,128.74,128.75
2020,70-74,Male,IMD1,London,All Stages,All Routes,118.51,118.5,118.51
2021,70-74,Male,IMD1,London,All Stages,All Routes,150.77,150.77,150.77
2022,70-74,Male,IMD1,London,All Stages,All Routes,112.35,112.35,112.36
2023,70-74,Male,IMD1,London,All Stages,All Routes,72.7,72.7,72.7
allyears,70-74,Male,IMD1,London,All Stages,All Routes,9.51,3.62,15.41
2016,75-79,Male,IMD1,London,All Stages,All Routes,104.33,104.32,104.33
2017,75-79,Male,IMD1,London,All Stages,All Routes,71.31,71.3,71.31
2018,75-79,Male,IMD1,London,All Stages,All Routes,116.71,116.7,116.71
2019,75-79,Male,IMD1,London,All Stages,All Routes,82.07,82.07,82.08
2020,75-79,Male,IMD1,London,All Stages,All Routes,93.28,93.28,93.29
2021,75-79,Male,IMD1,London,All Stages,All Routes,83.59,83.59,83.6
2022,75-79,Male,IMD1,London,All Stages,All Routes,59.45,59.44,59.45
2023,75-79,Male,IMD1,London,All Stages,All Routes,49.54,49.53,49.54
allyears,75-79,Male,IMD1,London,All Stages,All Routes,6.65,0.82,12.48
2016,80-84,Male,IMD1,London,All Stages,All Routes,112.64,112.63,112.65
2017,80-84,Male,IMD1,London,All Stages,All Routes,61.43,61.42,61.43
2018,80-84,Male,IMD1,London,All Stages,All Routes,35.9,35.89,35.9
2019,80-84,Male,IMD1,London,All Stages,All Routes,116.27,116.26,116.27
2020,80-84,Male,IMD1,London,All Stages,All Routes,117.79,117.78,117.79
2021,80-84,Male,IMD1,London,All Stages,All Routes,29.3,29.29,29.31
2022,80-84,Male,IMD1,London,All Stages,All Routes,121.18,121.16,121.19
2023,80-84,Male,IMD1,London,All Stages,All Routes,30.29,30.29,30.3
allyears,80-84,Male,IMD1,London,All Stages,All Routes,5.45,-0.72,11.63
2016,85-89,Male,IMD1,London,All Stages,All Routes,24.92,24.91,24.93
2017,85-89,Male,IMD1,London,All Stages,All Routes,93,92.98,93.02
2018,85-89,Male,IMD1,London,All Stages,All Routes,44.29,44.27,44.3
2019,85-89,Male,IMD1,London,All Stages,All Routes,65.12,65.1,65.13
2020,85-89,Male,IMD1,London,All Stages,All Routes,63.55,63.53,63.56
2021,85-89,Male,IMD1,London,All Stages,All Routes,139.51,139.47,139.54
2022,85-89,Male,IMD1,London,All Stages,All Routes,54.82,54.8,54.85
2023,85-89,Male,IMD1,London,All Stages,All Routes,109.65,109.62,109.68
allyears,85-89,Male,IMD1,London,All Stages,All Routes,0,0,0
2016,90+,Male,IMD1,London,All Stages,All Routes,0,0,0
2017,90+,Male,IMD1,London,All Stages,All Routes,98.23,98.16,98.3
2018,90+,Male,IMD1,London,All Stages,All Routes,90.87,90.81,90.93
2019,90+,Male,IMD1,London,All Stages,All Routes,127.55,127.49,127.61
2020,90+,Male,IMD1,London,All Stages,All Routes,40.36,40.32,40.39
2021,90+,Male,IMD1,London,All Stages,All Routes,124.15,124.04,124.25
2022,90+,Male,IMD1,London,All Stages,All Routes,59.21,59.14,59.28
2023,90+,Male,IMD1,London,All Stages,All Routes,59.21,59.14,59.28
allyears,90+,Male,IMD1,London,All Stages,All Routes,6.97,-6.69,20.63
2016,all ages,Male,IMD1,London,All Stages,All Routes,31.76,26.12,37.4
2017,all ages,Male,IMD1,London,All Stages,All Routes,30.83,25.23,36.44
2018,all ages,Male,IMD1,London,All Stages,All Routes,27.31,21.94,32.68
2019,all ages,Male,IMD1,London,All Stages,All Routes,35.24,29.34,41.15
2020,all ages,Male,IMD1,London,All Stages,All Routes,32.95,27.31,38.58
2021,all ages,Male,IMD1,London,All Stages,All Routes,36.87,30.69,43.05
2022,all ages,Male,IMD1,London,All Stages,All Routes,31.5,25.89,37.1
2023,all ages,Male,IMD1,London,All Stages,All Routes,25.17,20.26,30.09
allyears,all ages,Male,IMD1,London,All Stages,All Routes,2.48,1.88,3.08
2016,0-49,Female,IMD1,London,All Stages,All Routes,1.74,1.74,1.74
2017,0-49,Female,IMD1,London,All Stages,All Routes,0.92,0.92,0.92
2018,0-49,Female,IMD1,London,All Stages,All Routes,1.26,1.26,1.26
2019,0-49,Female,IMD1,London,All Stages,All Routes,1.37,1.37,1.37
2020,0-49,Female,IMD1,London,All Stages,All Routes,1.14,1.14,1.14
2021,0-49,Female,IMD1,London,All Stages,All Routes,2.02,2.02,2.02
2022,0-49,Female,IMD1,London,All Stages,All Routes,0.89,0.89,0.89
2023,0-49,Female,IMD1,London,All Stages,All Routes,0.77,0.77,0.77
allyears,0-49,Female,IMD1,London,All Stages,All Routes,0.02,-0.02,0.05
2016,50-54,Female,IMD1,London,All Stages,All Routes,8.64,8.64,8.64
2017,50-54,Female,IMD1,London,All Stages,All Routes,11.04,11.04,11.04
2018,50-54,Female,IMD1,London,All Stages,All Routes,7.35,7.35,7.35
2019,50-54,Female,IMD1,London,All Stages,All Routes,6.1,6.1,6.1
2020,50-54,Female,IMD1,London,All Stages,All Routes,11.05,11.05,11.05
2021,50-54,Female,IMD1,London,All Stages,All Routes,13.45,13.45,13.45
2022,50-54,Female,IMD1,London,All Stages,All Routes,6.14,6.14,6.14
2023,50-54,Female,IMD1,London,All Stages,All Routes,12.28,12.28,12.28
allyears,50-54,Female,IMD1,London,All Stages,All Routes,0.7,0.01,1.39
2016,55-59,Female,IMD1,London,All Stages,All Routes,5.69,5.69,5.69
2017,55-59,Female,IMD1,London,All Stages,All Routes,5.52,5.52,5.52
2018,55-59,Female,IMD1,London,All Stages,All Routes,17.44,17.44,17.44
2019,55-59,Female,IMD1,London,All Stages,All Routes,15.68,15.68,15.68
2020,55-59,Female,IMD1,London,All Stages,All Routes,14.08,14.08,14.08
2021,55-59,Female,IMD1,London,All Stages,All Routes,8.84,8.84,8.84
2022,55-59,Female,IMD1,London,All Stages,All Routes,10.1,10.1,10.1
2023,55-59,Female,IMD1,London,All Stages,All Routes,11.37,11.37,11.37
allyears,55-59,Female,IMD1,London,All Stages,All Routes,0.75,0.02,1.49
2016,60-64,Female,IMD1,London,All Stages,All Routes,12.06,12.06,12.06
2017,60-64,Female,IMD1,London,All Stages,All Routes,10.05,10.05,10.05
2018,60-64,Female,IMD1,London,All Stages,All Routes,11.39,11.39,11.39
2019,60-64,Female,IMD1,London,All Stages,All Routes,17.35,17.35,17.35
2020,60-64,Female,IMD1,London,All Stages,All Routes,15.32,15.32,15.32
2021,60-64,Female,IMD1,London,All Stages,All Routes,7.41,7.41,7.41
2022,60-64,Female,IMD1,London,All Stages,All Routes,7.2,7.2,7.2
2023,60-64,Female,IMD1,London,All Stages,All Routes,12.96,12.96,12.96
allyears,60-64,Female,IMD1,London,All Stages,All Routes,0.45,-0.17,1.07
2016,65-69,Female,IMD1,London,All Stages,All Routes,12.57,12.57,12.57
2017,65-69,Female,IMD1,London,All Stages,All Routes,22.31,22.31,22.31
2018,65-69,Female,IMD1,London,All Stages,All Routes,5.68,5.68,5.68
2019,65-69,Female,IMD1,London,All Stages,All Routes,13.29,13.29,13.29
2020,65-69,Female,IMD1,London,All Stages,All Routes,11.34,11.34,11.34
2021,65-69,Female,IMD1,London,All Stages,All Routes,20.45,20.45,20.46
2022,65-69,Female,IMD1,London,All Stages,All Routes,16.29,16.29,16.29
2023,65-69,Female,IMD1,London,All Stages,All Routes,10.86,10.86,10.86
allyears,65-69,Female,IMD1,London,All Stages,All Routes,0.8,-0.1,1.7
2016,70-74,Female,IMD1,London,All Stages,All Routes,9.59,9.59,9.59
2017,70-74,Female,IMD1,London,All Stages,All Routes,17.92,17.92,17.92
2018,70-74,Female,IMD1,London,All Stages,All Routes,8.62,8.62,8.62
2019,70-74,Female,IMD1,London,All Stages,All Routes,12.63,12.63,12.63
2020,70-74,Female,IMD1,London,All Stages,All Routes,14.36,14.36,14.36
2021,70-74,Female,IMD1,London,All Stages,All Routes,24.23,24.23,24.23
2022,70-74,Female,IMD1,London,All Stages,All Routes,4.18,4.18,4.18
2023,70-74,Female,IMD1,London,All Stages,All Routes,14.64,14.64,14.64
allyears,70-74,Female,IMD1,London,All Stages,All Routes,0.31,-0.29,0.91
2016,75-79,Female,IMD1,London,All Stages,All Routes,16.93,16.93,16.93
2017,75-79,Female,IMD1,London,All Stages,All Routes,14.31,14.31,14.31
2018,75-79,Female,IMD1,London,All Stages,All Routes,8.62,8.62,8.62
2019,75-79,Female,IMD1,London,All Stages,All Routes,17.15,17.15,17.15
2020,75-79,Female,IMD1,London,All Stages,All Routes,8.68,8.68,8.68
2021,75-79,Female,IMD1,London,All Stages,All Routes,31.63,31.63,31.63
2022,75-79,Female,IMD1,London,All Stages,All Routes,13.44,13.44,13.44
2023,75-79,Female,IMD1,London,All Stages,All Routes,10.75,10.75,10.75
allyears,75-79,Female,IMD1,London,All Stages,All Routes,2.03,0.25,3.8
2016,80-84,Female,IMD1,London,All Stages,All Routes,22.07,22.07,22.07
2017,80-84,Female,IMD1,London,All Stages,All Routes,11.06,11.06,11.06
2018,80-84,Female,IMD1,London,All Stages,All Routes,10.93,10.93,10.93
2019,80-84,Female,IMD1,London,All Stages,All Routes,14.53,14.53,14.53
2020,80-84,Female,IMD1,London,All Stages,All Routes,11.07,11.07,11.07
2021,80-84,Female,IMD1,London,All Stages,All Routes,23.17,23.16,23.17
2022,80-84,Female,IMD1,London,All Stages,All Routes,11.78,11.78,11.78
2023,80-84,Female,IMD1,London,All Stages,All Routes,11.78,11.78,11.78
allyears,80-84,Female,IMD1,London,All Stages,All Routes,0.53,-0.51,1.58
2016,85-89,Female,IMD1,London,All Stages,All Routes,5.56,5.56,5.56
2017,85-89,Female,IMD1,London,All Stages,All Routes,11.21,11.21,11.21
2018,85-89,Female,IMD1,London,All Stages,All Routes,11.35,11.35,11.35
2019,85-89,Female,IMD1,London,All Stages,All Routes,17.17,17.17,17.17
2020,85-89,Female,IMD1,London,All Stages,All Routes,11.76,11.75,11.76
2021,85-89,Female,IMD1,London,All Stages,All Routes,19.23,19.23,19.23
2022,85-89,Female,IMD1,London,All Stages,All Routes,6.35,6.35,6.35
2023,85-89,Female,IMD1,London,All Stages,All Routes,19.06,19.06,19.06
allyears,85-89,Female,IMD1,London,All Stages,All Routes,0,0,0
2016,90+,Female,IMD1,London,All Stages,All Routes,8.83,8.83,8.83
2017,90+,Female,IMD1,London,All Stages,All Routes,8.86,8.86,8.86
2018,90+,Female,IMD1,London,All Stages,All Routes,9.09,9.09,9.09
2019,90+,Female,IMD1,London,All Stages,All Routes,17.98,17.97,17.98
2020,90+,Female,IMD1,London,All Stages,All Routes,27.97,27.97,27.97
2021,90+,Female,IMD1,London,All Stages,All Routes,19.38,19.38,19.38
2022,90+,Female,IMD1,London,All Stages,All Routes,19.62,19.61,19.62
2023,90+,Female,IMD1,London,All Stages,All Routes,0,0,0
allyears,90+,Female,IMD1,London,All Stages,All Routes,0,0,0
2016,all ages,Female,IMD1,London,All Stages,All Routes,5.33,3.94,6.72
2017,all ages,Female,IMD1,London,All Stages,All Routes,5.53,4.09,6.96
2018,all ages,Female,IMD1,London,All Stages,All Routes,4.72,3.44,6.01
2019,all ages,Female,IMD1,London,All Stages,All Routes,6.17,4.69,7.65
2020,all ages,Female,IMD1,London,All Stages,All Routes,5.73,4.31,7.14
2021,all ages,Female,IMD1,London,All Stages,All Routes,7.85,6.17,9.54
2022,all ages,Female,IMD1,London,All Stages,All Routes,4.29,3.06,5.51
2023,all ages,Female,IMD1,London,All Stages,All Routes,5.19,3.84,6.53
allyears,all ages,Female,IMD1,London,All Stages,All Routes,0.29,0.16,0.41
2016,0-49,All Persons,IMD2,London,All Stages,All Routes,2.22,2.22,2.22
2017,0-49,All Persons,IMD2,London,All Stages,All Routes,2.17,2.17,2.17
2018,0-49,All Persons,IMD2,London,All Stages,All Routes,2.61,2.61,2.61
2019,0-49,All Persons,IMD2,London,All Stages,All Routes,2.66,2.66,2.66
2020,0-49,All Persons,IMD2,London,All Stages,All Routes,2.47,2.47,2.47
2021,0-49,All Persons,IMD2,London,All Stages,All Routes,4.21,4.21,4.21
2022,0-49,All Persons,IMD2,London,All Stages,All Routes,2.82,2.82,2.82
2023,0-49,All Persons,IMD2,London,All Stages,All Routes,1.73,1.73,1.73
allyears,0-49,All Persons,IMD2,London,All Stages,All Routes,2.92,2.64,3.19
2016,50-54,All Persons,IMD2,London,All Stages,All Routes,18.12,18.12,18.12
2017,50-54,All Persons,IMD2,London,All Stages,All Routes,20.65,20.65,20.65
2018,50-54,All Persons,IMD2,London,All Stages,All Routes,21.44,21.44,21.44
2019,50-54,All Persons,IMD2,London,All Stages,All Routes,26.97,26.97,26.97
2020,50-54,All Persons,IMD2,London,All Stages,All Routes,19.88,19.88,19.88
2021,50-54,All Persons,IMD2,London,All Stages,All Routes,24.24,24.24,24.24
2022,50-54,All Persons,IMD2,London,All Stages,All Routes,17.44,17.44,17.44
2023,50-54,All Persons,IMD2,London,All Stages,All Routes,20.35,20.35,20.35
allyears,50-54,All Persons,IMD2,London,All Stages,All Routes,24.18,21.39,26.97
2016,55-59,All Persons,IMD2,London,All Stages,All Routes,29.34,29.34,29.34
2017,55-59,All Persons,IMD2,London,All Stages,All Routes,31.73,31.73,31.73
2018,55-59,All Persons,IMD2,London,All Stages,All Routes,33.2,33.2,33.2
2019,55-59,All Persons,IMD2,London,All Stages,All Routes,38.63,38.63,38.63
2020,55-59,All Persons,IMD2,London,All Stages,All Routes,38.8,38.8,38.8
2021,55-59,All Persons,IMD2,London,All Stages,All Routes,29.26,29.26,29.26
2022,55-59,All Persons,IMD2,London,All Stages,All Routes,29.53,29.53,29.53
2023,55-59,All Persons,IMD2,London,All Stages,All Routes,28.89,28.89,28.89
allyears,55-59,All Persons,IMD2,London,All Stages,All Routes,37.31,33.59,41.03
2016,60-64,All Persons,IMD2,London,All Stages,All Routes,66.27,66.27,66.27
2017,60-64,All Persons,IMD2,London,All Stages,All Routes,51.39,51.39,51.39
2018,60-64,All Persons,IMD2,London,All Stages,All Routes,45.63,45.63,45.63
2019,60-64,All Persons,IMD2,London,All Stages,All Routes,42.09,42.09,42.09
2020,60-64,All Persons,IMD2,London,All Stages,All Routes,47.75,47.75,47.75
2021,60-64,All Persons,IMD2,London,All Stages,All Routes,47.77,47.77,47.77
2022,60-64,All Persons,IMD2,London,All Stages,All Routes,43.06,43.06,43.06
2023,60-64,All Persons,IMD2,London,All Stages,All Routes,43.06,43.06,43.06
allyears,60-64,All Persons,IMD2,London,All Stages,All Routes,55.28,50.16,60.4
2016,65-69,All Persons,IMD2,London,All Stages,All Routes,59.48,59.48,59.48
2017,65-69,All Persons,IMD2,London,All Stages,All Routes,59.5,59.5,59.5
2018,65-69,All Persons,IMD2,London,All Stages,All Routes,57.39,57.39,57.39
2019,65-69,All Persons,IMD2,London,All Stages,All Routes,58.21,58.21,58.21
2020,65-69,All Persons,IMD2,London,All Stages,All Routes,52.24,52.24,52.24
2021,65-69,All Persons,IMD2,London,All Stages,All Routes,59.16,59.16,59.16
2022,65-69,All Persons,IMD2,London,All Stages,All Routes,60.54,60.54,60.54
2023,65-69,All Persons,IMD2,London,All Stages,All Routes,47.08,47.08,47.08
allyears,65-69,All Persons,IMD2,London,All Stages,All Routes,64.7,58.45,70.96
2016,70-74,All Persons,IMD2,London,All Stages,All Routes,55.83,55.83,55.83
2017,70-74,All Persons,IMD2,London,All Stages,All Routes,57.1,57.1,57.1
2018,70-74,All Persons,IMD2,London,All Stages,All Routes,56.04,56.04,56.04
2019,70-74,All Persons,IMD2,London,All Stages,All Routes,51.27,51.27,51.27
2020,70-74,All Persons,IMD2,London,All Stages,All Routes,63.01,63.01,63.01
2021,70-74,All Persons,IMD2,London,All Stages,All Routes,42.33,42.33,42.33
2022,70-74,All Persons,IMD2,London,All Stages,All Routes,48.38,48.38,48.38
2023,70-74,All Persons,IMD2,London,All Stages,All Routes,65.97,65.97,65.97
allyears,70-74,All Persons,IMD2,London,All Stages,All Routes,61.16,54.42,67.89
2016,75-79,All Persons,IMD2,London,All Stages,All Routes,37.88,37.88,37.88
2017,75-79,All Persons,IMD2,London,All Stages,All Routes,36,36,36
2018,75-79,All Persons,IMD2,London,All Stages,All Routes,68.31,68.31,68.31
2019,75-79,All Persons,IMD2,London,All Stages,All Routes,57.79,57.79,57.79
2020,75-79,All Persons,IMD2,London,All Stages,All Routes,53.7,53.7,53.7
2021,75-79,All Persons,IMD2,London,All Stages,All Routes,30.09,30.09,30.09
2022,75-79,All Persons,IMD2,London,All Stages,All Routes,64.17,64.17,64.17
2023,75-79,All Persons,IMD2,London,All Stages,All Routes,70.19,70.18,70.19
allyears,75-79,All Persons,IMD2,London,All Stages,All Routes,57.13,49.56,64.7
2016,80-84,All Persons,IMD2,London,All Stages,All Routes,35.52,35.52,35.52
2017,80-84,All Persons,IMD2,London,All Stages,All Routes,53.7,53.69,53.7
2018,80-84,All Persons,IMD2,London,All Stages,All Routes,36.64,36.64,36.64
2019,80-84,All Persons,IMD2,London,All Stages,All Routes,64.46,64.46,64.46
2020,80-84,All Persons,IMD2,London,All Stages,All Routes,38.65,38.65,38.65
2021,80-84,All Persons,IMD2,London,All Stages,All Routes,29.81,29.81,29.81
2022,80-84,All Persons,IMD2,London,All Stages,All Routes,40.41,40.41,40.41
2023,80-84,All Persons,IMD2,London,All Stages,All Routes,63.5,63.5,63.5
allyears,80-84,All Persons,IMD2,London,All Stages,All Routes,49.77,41.52,58.01
2016,85-89,All Persons,IMD2,London,All Stages,All Routes,44.82,44.82,44.82
2017,85-89,All Persons,IMD2,London,All Stages,All Routes,47.89,47.89,47.89
2018,85-89,All Persons,IMD2,London,All Stages,All Routes,30.42,30.42,30.42
2019,85-89,All Persons,IMD2,London,All Stages,All Routes,50.71,50.7,50.71
2020,85-89,All Persons,IMD2,London,All Stages,All Routes,33.53,33.53,33.54
2021,85-89,All Persons,IMD2,London,All Stages,All Routes,42.37,42.37,42.37
2022,85-89,All Persons,IMD2,London,All Stages,All Routes,48.76,48.76,48.76
2023,85-89,All Persons,IMD2,London,All Stages,All Routes,73.14,73.14,73.14
allyears,85-89,All Persons,IMD2,London,All Stages,All Routes,51.25,40.54,61.95
2016,90+,All Persons,IMD2,London,All Stages,All Routes,30.53,30.53,30.53
2017,90+,All Persons,IMD2,London,All Stages,All Routes,15.01,15.01,15.01
2018,90+,All Persons,IMD2,London,All Stages,All Routes,36.78,36.78,36.78
2019,90+,All Persons,IMD2,London,All Stages,All Routes,62.67,62.66,62.67
2020,90+,All Persons,IMD2,London,All Stages,All Routes,40.97,40.97,40.97
2021,90+,All Persons,IMD2,London,All Stages,All Routes,39.41,39.41,39.41
2022,90+,All Persons,IMD2,London,All Stages,All Routes,66.46,66.46,66.47
2023,90+,All Persons,IMD2,London,All Stages,All Routes,24.92,24.92,24.93
allyears,90+,All Persons,IMD2,London,All Stages,All Routes,44.39,31.42,57.36
2016,all ages,All Persons,IMD2,London,All Stages,All Routes,17.95,15.88,20.02
2017,all ages,All Persons,IMD2,London,All Stages,All Routes,17.69,15.67,19.72
2018,all ages,All Persons,IMD2,London,All Stages,All Routes,18.42,16.37,20.48
2019,all ages,All Persons,IMD2,London,All Stages,All Routes,19.62,17.54,21.7
2020,all ages,All Persons,IMD2,London,All Stages,All Routes,18.34,16.35,20.33
2021,all ages,All Persons,IMD2,London,All Stages,All Routes,17.38,15.67,19.09
2022,all ages,All Persons,IMD2,London,All Stages,All Routes,18.17,16.13,20.2
2023,all ages,All Persons,IMD2,London,All Stages,All Routes,18.57,16.48,20.66
allyears,all ages,All Persons,IMD2,London,All Stages,All Routes,20.57,19.78,21.36
2016,0-49,Male,IMD2,London,All Stages,All Routes,2.35,2.35,2.35
2017,0-49,Male,IMD2,London,All Stages,All Routes,2.88,2.88,2.88
2018,0-49,Male,IMD2,London,All Stages,All Routes,2.95,2.95,2.95
2019,0-49,Male,IMD2,London,All Stages,All Routes,3.3,3.3,3.3
2020,0-49,Male,IMD2,London,All Stages,All Routes,3.46,3.46,3.46
2021,0-49,Male,IMD2,London,All Stages,All Routes,4.25,4.25,4.25
2022,0-49,Male,IMD2,London,All Stages,All Routes,3.52,3.52,3.52
2023,0-49,Male,IMD2,London,All Stages,All Routes,2.71,2.71,2.71
allyears,0-49,Male,IMD2,London,All Stages,All Routes,0.09,0.02,0.16
2016,50-54,Male,IMD2,London,All Stages,All Routes,30.63,30.63,30.63
2017,50-54,Male,IMD2,London,All Stages,All Routes,32.22,32.22,32.22
2018,50-54,Male,IMD2,London,All Stages,All Routes,29.14,29.14,29.14
2019,50-54,Male,IMD2,London,All Stages,All Routes,39.23,39.23,39.23
2020,50-54,Male,IMD2,London,All Stages,All Routes,30.7,30.7,30.7
2021,50-54,Male,IMD2,London,All Stages,All Routes,38.84,38.84,38.84
2022,50-54,Male,IMD2,London,All Stages,All Routes,21.37,21.37,21.37
2023,50-54,Male,IMD2,London,All Stages,All Routes,33.24,33.24,33.24
allyears,50-54,Male,IMD2,London,All Stages,All Routes,2.18,1,3.37
2016,55-59,Male,IMD2,London,All Stages,All Routes,44.07,44.07,44.07
2017,55-59,Male,IMD2,London,All Stages,All Routes,52.5,52.5,52.5
2018,55-59,Male,IMD2,London,All Stages,All Routes,43.49,43.49,43.49
2019,55-59,Male,IMD2,London,All Stages,All Routes,64.9,64.9,64.9
2020,55-59,Male,IMD2,London,All Stages,All Routes,61.7,61.7,61.7
2021,55-59,Male,IMD2,London,All Stages,All Routes,44.65,44.65,44.65
2022,55-59,Male,IMD2,London,All Stages,All Routes,43.87,43.87,43.87
2023,55-59,Male,IMD2,London,All Stages,All Routes,38.56,38.55,38.56
allyears,55-59,Male,IMD2,London,All Stages,All Routes,5.94,3.82,8.07
2016,60-64,Male,IMD2,London,All Stages,All Routes,88.36,88.36,88.36
2017,60-64,Male,IMD2,London,All Stages,All Routes,86.69,86.69,86.69
2018,60-64,Male,IMD2,London,All Stages,All Routes,67.92,67.92,67.92
2019,60-64,Male,IMD2,London,All Stages,All Routes,73.85,73.85,73.85
2020,60-64,Male,IMD2,London,All Stages,All Routes,66.95,66.95,66.95
2021,60-64,Male,IMD2,London,All Stages,All Routes,76.52,76.52,76.52
2022,60-64,Male,IMD2,London,All Stages,All Routes,56.95,56.95,56.95
2023,60-64,Male,IMD2,London,All Stages,All Routes,63.65,63.65,63.65
allyears,60-64,Male,IMD2,London,All Stages,All Routes,5.74,3.34,8.14
2016,65-69,Male,IMD2,London,All Stages,All Routes,87.23,87.23,87.23
2017,65-69,Male,IMD2,London,All Stages,All Routes,95.07,95.07,95.07
2018,65-69,Male,IMD2,London,All Stages,All Routes,81.46,81.46,81.46
2019,65-69,Male,IMD2,London,All Stages,All Routes,96.34,96.34,96.34
2020,65-69,Male,IMD2,London,All Stages,All Routes,77.25,77.25,77.25
2021,65-69,Male,IMD2,London,All Stages,All Routes,114.25,114.25,114.25
2022,65-69,Male,IMD2,London,All Stages,All Routes,86.4,86.4,86.4
2023,65-69,Male,IMD2,London,All Stages,All Routes,77.06,77.06,77.06
allyears,65-69,Male,IMD2,London,All Stages,All Routes,7.27,4.16,10.38
2016,70-74,Male,IMD2,London,All Stages,All Routes,100.91,100.91,100.91
2017,70-74,Male,IMD2,London,All Stages,All Routes,93.84,93.84,93.84
2018,70-74,Male,IMD2,London,All Stages,All Routes,101.51,101.51,101.51
2019,70-74,Male,IMD2,London,All Stages,All Routes,79.38,79.38,79.38
2020,70-74,Male,IMD2,London,All Stages,All Routes,97.45,97.45,97.45
2021,70-74,Male,IMD2,London,All Stages,All Routes,110.24,110.24,110.24
2022,70-74,Male,IMD2,London,All Stages,All Routes,69.86,69.86,69.86
