quarterYear,survival,ciLb,ciUb,sex,dep,region,route,stage,ageBand,diagnosisYear
.25,.92000002,.89999998,.94,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
.5,.85000002,.81999999,.87,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
.75,.77999997,.75,.81,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
1,.73000002,.69999999,.75999999,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
1.25,.69,.66000003,.72000003,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
1.5,.67000002,.63999999,.70999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
1.75,.63999999,.60000002,.67000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
2,.63,.58999997,.67000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
2.25,.63,.58999997,.67000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
2.75,.63,.58999997,.67000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
3,.63,.58999997,.67000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
3.25,.63,.58999997,.67000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
3.5,.63,.58999997,.67000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
4.25,.63,.58999997,.67000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
4.75,.63,.58999997,.67000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
0,1,.99000001,1,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
.25,.94,.92000002,.95999998,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
.5,.88,.83999997,.91000003,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
.75,.80000001,.75999999,.83999997,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
1,.74000001,.69999999,.79000002,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
1.25,.72000003,.67000002,.75999999,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
1.5,.67000002,.62,.72000003,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
1.75,.63,.57999998,.68000001,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
2,.62,.56999999,.67000002,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
2.25,.58999997,.54000002,.63999999,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
2.5,.57999998,.52999997,.63,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
2.75,.56,.50999999,.61000001,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
3,.55000001,.5,.61000001,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
3.25,.55000001,.5,.60000002,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
3.5,.54000002,.49000001,.58999997,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
3.75,.51999998,.47,.57999998,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
4,.50999999,.46000001,.56999999,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
4.25,.5,.44,.55000001,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
4.5,.49000001,.44,.55000001,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
4.75,.49000001,.43000001,.54000002,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
5,.47999999,.41999999,.52999997,All Persons,IMD Q2,East Midlands,All Routes,All Stages,All Ages,All Years
0,1,.99000001,1,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
.25,.93000001,.89999998,.94999999,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
.5,.86000001,.81999999,.88999999,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
.75,.80000001,.75999999,.83999997,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
1,.75,.70999998,.80000001,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
1.25,.69999999,.64999998,.74000001,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
1.5,.63999999,.58999997,.69,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
1.75,.61000001,.56,.66000003,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
2,.58999997,.54000002,.63999999,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
2.25,.56,.50999999,.61000001,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
2.5,.55000001,.5,.60000002,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
2.75,.54000002,.49000001,.60000002,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
3,.52999997,.47999999,.57999998,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
3.25,.51999998,.47,.56999999,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
3.5,.51999998,.46000001,.56999999,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
3.75,.51999998,.46000001,.56999999,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
4,.51999998,.46000001,.56999999,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
4.25,.47,.41999999,.52999997,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
4.5,.47,.41,.52999997,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
4.75,.46000001,.41,.51999998,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
5,.46000001,.41,.51999998,All Persons,IMD Q2,East of England,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
.25,.93000001,.91000003,.94999999,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
.5,.87,.85000002,.89999998,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
.75,.81,.77999997,.83999997,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
1,.75999999,.73000002,.79000002,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
1.25,.72000003,.69,.75999999,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
1.5,.69999999,.66000003,.73000002,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
1.75,.67000002,.63,.69999999,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
