diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb,table
2021,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,region_London_rtd_emergency
2022,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.1,region_London_rtd_emergency
2023,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.1,region_London_rtd_emergency
allyears,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,0,0.1,0.0,0.1,
2016,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,50,0.8,0.6,1.0,region_London_rtd_non_emergency
2017,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,45,0.7,0.5,0.9,region_London_rtd_non_emergency
2018,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,40,0.6,0.4,0.8,region_London_rtd_non_emergency
2019,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,region_London_rtd_non_emergency
2020,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,region_London_rtd_non_emergency
2021,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,region_London_rtd_non_emergency
2022,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,40,0.7,0.5,0.9,region_London_rtd_non_emergency
2023,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,40,0.6,0.4,0.8,region_London_rtd_non_emergency
allyears,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,215,0.5,0.4,0.5,
2016,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,25,0.4,0.2,0.5,region_London_stage_early
2017,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,25,0.4,0.3,0.6,region_London_stage_early
2018,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,15,0.3,0.1,0.4,region_London_stage_early
2019,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,20,0.3,0.2,0.4,region_London_stage_early
2020,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,15,0.2,0.1,0.3,region_London_stage_early
2021,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,10,0.2,0.1,0.3,region_London_stage_early
2022,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,#N/A,#N/A,#N/A,#N/A,region_London_stage_early
2023,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,#N/A,#N/A,#N/A,#N/A,region_London_stage_early
allyears,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,110,0.3,0.2,0.3,
2016,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,25,0.4,0.2,0.5,region_London_stage_advanced
2017,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,20,0.3,0.2,0.4,region_London_stage_advanced
2018,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,20,0.3,0.2,0.5,region_London_stage_advanced
2019,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,15,0.2,0.1,0.3,region_London_stage_advanced
2020,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,15,0.3,0.1,0.4,region_London_stage_advanced
2021,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,25,0.4,0.2,0.5,region_London_stage_advanced
2022,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,region_London_stage_advanced
2023,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,region_London_stage_advanced
allyears,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,120,0.3,0.2,0.3,
2016,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,25,1.6,1.0,2.2,region_North East
2017,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,25,1.5,0.9,2.1,region_North East
2018,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,20,1.2,0.7,1.8,region_North East
2019,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,25,1.5,0.9,2.1,region_North East
2020,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,20,1.2,0.7,1.8,region_North East
2021,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,15,1.1,0.6,1.6,region_North East
