diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb,table
2020,0-49,Male,All IMD Quintiles,London,Early,All Routes,SUPPRESSED; n<10,0.2,0.0,0.3,sex_1_region_London_stage_early
2021,0-49,Male,All IMD Quintiles,London,Early,All Routes,SUPPRESSED; n<10,0.2,0.1,0.4,sex_1_region_London_stage_early
2022,0-49,Male,All IMD Quintiles,London,Early,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_London_stage_early
2023,0-49,Male,All IMD Quintiles,London,Early,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_London_stage_early
allyears,0-49,Male,All IMD Quintiles,London,Early,All Routes,45,0.4,0.3,0.5,
2016,0-49,Male,All IMD Quintiles,London,Advanced,All Routes,15,0.5,0.3,0.7,sex_1_region_London_stage_advanced
2017,0-49,Male,All IMD Quintiles,London,Advanced,All Routes,10,0.4,0.2,0.6,sex_1_region_London_stage_advanced
2018,0-49,Male,All IMD Quintiles,London,Advanced,All Routes,15,0.5,0.3,0.8,sex_1_region_London_stage_advanced
2019,0-49,Male,All IMD Quintiles,London,Advanced,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5,sex_1_region_London_stage_advanced
2020,0-49,Male,All IMD Quintiles,London,Advanced,All Routes,10,0.4,0.1,0.6,sex_1_region_London_stage_advanced
2021,0-49,Male,All IMD Quintiles,London,Advanced,All Routes,15,0.6,0.3,0.8,sex_1_region_London_stage_advanced
2022,0-49,Male,All IMD Quintiles,London,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_London_stage_advanced
2023,0-49,Male,All IMD Quintiles,London,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_London_stage_advanced
allyears,0-49,Male,All IMD Quintiles,London,Advanced,All Routes,65,0.3,0.2,0.4,
2016,0-49,Male,All IMD Quintiles,North East,All Stages,All Routes,15,2.1,1.1,3.2,sex_1_region_North East
2017,0-49,Male,All IMD Quintiles,North East,All Stages,All Routes,15,1.7,0.8,2.6,sex_1_region_North East
2018,0-49,Male,All IMD Quintiles,North East,All Stages,All Routes,10,1.5,0.7,2.4,sex_1_region_North East
2019,0-49,Male,All IMD Quintiles,North East,All Stages,All Routes,15,1.8,0.9,2.7,sex_1_region_North East
2020,0-49,Male,All IMD Quintiles,North East,All Stages,All Routes,15,1.9,1.0,2.9,sex_1_region_North East
2021,0-49,Male,All IMD Quintiles,North East,All Stages,All Routes,10,1.3,0.5,2.1,sex_1_region_North East
2022,0-49,Male,All IMD Quintiles,North East,All Stages,All Routes,10,1.3,0.5,2.1,sex_1_region_North East
2023,0-49,Male,All IMD Quintiles,North East,All Stages,All Routes,10,1.3,0.5,2.1,sex_1_region_North East
allyears,0-49,Male,All IMD Quintiles,North East,All Stages,All Routes,100,1.8,1.5,2.2,
2016,0-49,Male,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.0,sex_1_region_North East_rtd_emergency
2017,0-49,Male,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.3,-0.1,0.6,sex_1_region_North East_rtd_emergency
2018,0-49,Male,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.1,-0.1,0.4,sex_1_region_North East_rtd_emergency
2019,0-49,Male,All IMD Quintiles,North East,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_North East_rtd_emergency
2020,0-49,Male,All IMD Quintiles,North East,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_North East_rtd_emergency
2021,0-49,Male,All IMD Quintiles,North East,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_North East_rtd_emergency
2022,0-49,Male,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.3,-0.1,0.6,sex_1_region_North East_rtd_emergency
2023,0-49,Male,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.3,-0.1,0.6,sex_1_region_North East_rtd_emergency
allyears,0-49,Male,All IMD Quintiles,North East,All Stages,Emergency,0,0.1,0.0,0.2,
2016,0-49,Male,All IMD Quintiles,North East,All Stages,Non-emergency,15,2.1,1.1,3.2,sex_1_region_North East_rtd_non_emergency
2017,0-49,Male,All IMD Quintiles,North East,All Stages,Non-emergency,10,1.4,0.6,2.2,sex_1_region_North East_rtd_non_emergency
2018,0-49,Male,All IMD Quintiles,North East,All Stages,Non-emergency,10,1.3,0.5,2.1,sex_1_region_North East_rtd_non_emergency
2019,0-49,Male,All IMD Quintiles,North East,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_North East_rtd_non_emergency
2020,0-49,Male,All IMD Quintiles,North East,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_North East_rtd_non_emergency
2021,0-49,Male,All IMD Quintiles,North East,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_North East_rtd_non_emergency
2022,0-49,Male,All IMD Quintiles,North East,All Stages,Non-emergency,SUPPRESSED; n<10,1.0,0.3,1.7,sex_1_region_North East_rtd_non_emergency
2023,0-49,Male,All IMD Quintiles,North East,All Stages,Non-emergency,SUPPRESSED; n<10,1.0,0.3,1.7,sex_1_region_North East_rtd_non_emergency
allyears,0-49,Male,All IMD Quintiles,North East,All Stages,Non-emergency,35,1.0,0.7,1.2,
2016,0-49,Male,All IMD Quintiles,North East,Early,All Routes,10,1.4,0.6,2.2,sex_1_region_North East_stage_early
2017,0-49,Male,All IMD Quintiles,North East,Early,All Routes,SUPPRESSED; n<10,0.4,-0.1,0.8,sex_1_region_North East_stage_early
2018,0-49,Male,All IMD Quintiles,North East,Early,All Routes,SUPPRESSED; n<10,0.9,0.2,1.6,sex_1_region_North East_stage_early
2019,0-49,Male,All IMD Quintiles,North East,Early,All Routes,SUPPRESSED; n<10,0.9,0.2,1.6,sex_1_region_North East_stage_early
2020,0-49,Male,All IMD Quintiles,North East,Early,All Routes,SUPPRESSED; n<10,0.9,0.2,1.6,sex_1_region_North East_stage_early
2021,0-49,Male,All IMD Quintiles,North East,Early,All Routes,SUPPRESSED; n<10,0.3,-0.1,0.6,sex_1_region_North East_stage_early
2022,0-49,Male,All IMD Quintiles,North East,Early,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_North East_stage_early
2023,0-49,Male,All IMD Quintiles,North East,Early,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_North East_stage_early
allyears,0-49,Male,All IMD Quintiles,North East,Early,All Routes,10,0.7,0.5,1.0,
2016,0-49,Male,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,0.6,0.1,1.2,sex_1_region_North East_stage_advanced
2017,0-49,Male,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,1.1,0.4,1.9,sex_1_region_North East_stage_advanced
2018,0-49,Male,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,0.6,0.1,1.2,sex_1_region_North East_stage_advanced
2019,0-49,Male,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,0.6,0.1,1.2,sex_1_region_North East_stage_advanced
2020,0-49,Male,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,1.0,0.3,1.7,sex_1_region_North East_stage_advanced
2021,0-49,Male,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,1.0,0.3,1.8,sex_1_region_North East_stage_advanced
2022,0-49,Male,All IMD Quintiles,North East,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_North East_stage_advanced
2023,0-49,Male,All IMD Quintiles,North East,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_North East_stage_advanced
allyears,0-49,Male,All IMD Quintiles,North East,Advanced,All Routes,0,0.7,0.5,0.9,
2016,0-49,Male,All IMD Quintiles,North West,All Stages,All Routes,30,1.4,0.9,1.9,sex_1_region_North West
2017,0-49,Male,All IMD Quintiles,North West,All Stages,All Routes,35,1.6,1.1,2.2,sex_1_region_North West
2018,0-49,Male,All IMD Quintiles,North West,All Stages,All Routes,35,1.5,1.0,1.9,sex_1_region_North West
2019,0-49,Male,All IMD Quintiles,North West,All Stages,All Routes,25,1.1,0.6,1.5,sex_1_region_North West
2020,0-49,Male,All IMD Quintiles,North West,All Stages,All Routes,25,1.1,0.7,1.6,sex_1_region_North West
2021,0-49,Male,All IMD Quintiles,North West,All Stages,All Routes,20,0.9,0.5,1.3,sex_1_region_North West
2022,0-49,Male,All IMD Quintiles,North West,All Stages,All Routes,15,0.6,0.3,1.0,sex_1_region_North West
2023,0-49,Male,All IMD Quintiles,North West,All Stages,All Routes,25,1.1,0.7,1.6,sex_1_region_North West
allyears,0-49,Male,All IMD Quintiles,North West,All Stages,All Routes,210,1.3,1.2,1.5,
2016,0-49,Male,All IMD Quintiles,North West,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.1,sex_1_region_North West_rtd_emergency
2017,0-49,Male,All IMD Quintiles,North West,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.3,sex_1_region_North West_rtd_emergency
2018,0-49,Male,All IMD Quintiles,North West,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.1,sex_1_region_North West_rtd_emergency
2019,0-49,Male,All IMD Quintiles,North West,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_North West_rtd_emergency
2020,0-49,Male,All IMD Quintiles,North West,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_North West_rtd_emergency
2021,0-49,Male,All IMD Quintiles,North West,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_North West_rtd_emergency
2022,0-49,Male,All IMD Quintiles,North West,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.1,sex_1_region_North West_rtd_emergency
2023,0-49,Male,All IMD Quintiles,North West,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.1,sex_1_region_North West_rtd_emergency
allyears,0-49,Male,All IMD Quintiles,North West,All Stages,Emergency,0,0.0,0.0,0.1,
2016,0-49,Male,All IMD Quintiles,North West,All Stages,Non-emergency,30,1.3,0.8,1.7,sex_1_region_North West_rtd_non_emergency
2017,0-49,Male,All IMD Quintiles,North West,All Stages,Non-emergency,30,1.4,0.9,1.8,sex_1_region_North West_rtd_non_emergency
2018,0-49,Male,All IMD Quintiles,North West,All Stages,Non-emergency,30,1.2,0.8,1.7,sex_1_region_North West_rtd_non_emergency
2019,0-49,Male,All IMD Quintiles,North West,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_North West_rtd_non_emergency
2020,0-49,Male,All IMD Quintiles,North West,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_North West_rtd_non_emergency
2021,0-49,Male,All IMD Quintiles,North West,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_North West_rtd_non_emergency
2022,0-49,Male,All IMD Quintiles,North West,All Stages,Non-emergency,15,0.6,0.3,0.9,sex_1_region_North West_rtd_non_emergency
2023,0-49,Male,All IMD Quintiles,North West,All Stages,Non-emergency,25,1.0,0.6,1.4,sex_1_region_North West_rtd_non_emergency
allyears,0-49,Male,All IMD Quintiles,North West,All Stages,Non-emergency,130,0.8,0.6,0.9,
2016,0-49,Male,All IMD Quintiles,North West,Early,All Routes,20,0.8,0.4,1.2,sex_1_region_North West_stage_early
2017,0-49,Male,All IMD Quintiles,North West,Early,All Routes,20,0.9,0.5,1.3,sex_1_region_North West_stage_early
2018,0-49,Male,All IMD Quintiles,North West,Early,All Routes,10,0.5,0.2,0.8,sex_1_region_North West_stage_early
2019,0-49,Male,All IMD Quintiles,North West,Early,All Routes,10,0.5,0.2,0.8,sex_1_region_North West_stage_early
2020,0-49,Male,All IMD Quintiles,North West,Early,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5,sex_1_region_North West_stage_early
2021,0-49,Male,All IMD Quintiles,North West,Early,All Routes,SUPPRESSED; n<10,0.4,0.1,0.6,sex_1_region_North West_stage_early
2022,0-49,Male,All IMD Quintiles,North West,Early,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_North West_stage_early
2023,0-49,Male,All IMD Quintiles,North West,Early,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_North West_stage_early
allyears,0-49,Male,All IMD Quintiles,North West,Early,All Routes,60,0.5,0.4,0.6,
2016,0-49,Male,All IMD Quintiles,North West,Advanced,All Routes,10,0.5,0.2,0.8,sex_1_region_North West_stage_advanced
2017,0-49,Male,All IMD Quintiles,North West,Advanced,All Routes,15,0.6,0.3,0.9,sex_1_region_North West_stage_advanced
2018,0-49,Male,All IMD Quintiles,North West,Advanced,All Routes,20,0.8,0.5,1.2,sex_1_region_North West_stage_advanced
2019,0-49,Male,All IMD Quintiles,North West,Advanced,All Routes,SUPPRESSED; n<10,0.4,0.1,0.7,sex_1_region_North West_stage_advanced
2020,0-49,Male,All IMD Quintiles,North West,Advanced,All Routes,20,0.8,0.4,1.2,sex_1_region_North West_stage_advanced
2021,0-49,Male,All IMD Quintiles,North West,Advanced,All Routes,SUPPRESSED; n<10,0.4,0.1,0.6,sex_1_region_North West_stage_advanced
2022,0-49,Male,All IMD Quintiles,North West,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_North West_stage_advanced
2023,0-49,Male,All IMD Quintiles,North West,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_North West_stage_advanced
allyears,0-49,Male,All IMD Quintiles,North West,Advanced,All Routes,65,0.5,0.4,0.6,
2016,0-49,Male,All IMD Quintiles,South East,All Stages,All Routes,30,1.0,0.7,1.4,sex_1_region_South East
2017,0-49,Male,All IMD Quintiles,South East,All Stages,All Routes,30,1.1,0.7,1.5,sex_1_region_South East
2018,0-49,Male,All IMD Quintiles,South East,All Stages,All Routes,35,1.2,0.8,1.6,sex_1_region_South East
2019,0-49,Male,All IMD Quintiles,South East,All Stages,All Routes,20,0.7,0.4,1.0,sex_1_region_South East
2020,0-49,Male,All IMD Quintiles,South East,All Stages,All Routes,35,1.2,0.8,1.6,sex_1_region_South East
2021,0-49,Male,All IMD Quintiles,South East,All Stages,All Routes,15,0.6,0.3,0.8,sex_1_region_South East
2022,0-49,Male,All IMD Quintiles,South East,All Stages,All Routes,20,0.8,0.5,1.1,sex_1_region_South East
2023,0-49,Male,All IMD Quintiles,South East,All Stages,All Routes,25,0.8,0.5,1.2,sex_1_region_South East
allyears,0-49,Male,All IMD Quintiles,South East,All Stages,All Routes,210,1.1,0.9,1.2,
2016,0-49,Male,All IMD Quintiles,South East,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.1,sex_1_region_South East_rtd_emergency
2017,0-49,Male,All IMD Quintiles,South East,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.1,sex_1_region_South East_rtd_emergency
2018,0-49,Male,All IMD Quintiles,South East,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.2,sex_1_region_South East_rtd_emergency
2019,0-49,Male,All IMD Quintiles,South East,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_South East_rtd_emergency
2020,0-49,Male,All IMD Quintiles,South East,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_South East_rtd_emergency
2021,0-49,Male,All IMD Quintiles,South East,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_South East_rtd_emergency
2022,0-49,Male,All IMD Quintiles,South East,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.0,sex_1_region_South East_rtd_emergency
2023,0-49,Male,All IMD Quintiles,South East,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.1,sex_1_region_South East_rtd_emergency
allyears,0-49,Male,All IMD Quintiles,South East,All Stages,Emergency,0,0.0,0.0,0.0,
2016,0-49,Male,All IMD Quintiles,South East,All Stages,Non-emergency,25,1.0,0.6,1.3,sex_1_region_South East_rtd_non_emergency
2017,0-49,Male,All IMD Quintiles,South East,All Stages,Non-emergency,25,1.0,0.6,1.3,sex_1_region_South East_rtd_non_emergency
2018,0-49,Male,All IMD Quintiles,South East,All Stages,Non-emergency,30,1.0,0.6,1.4,sex_1_region_South East_rtd_non_emergency
2019,0-49,Male,All IMD Quintiles,South East,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_South East_rtd_non_emergency
2020,0-49,Male,All IMD Quintiles,South East,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_South East_rtd_non_emergency
2021,0-49,Male,All IMD Quintiles,South East,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_South East_rtd_non_emergency
2022,0-49,Male,All IMD Quintiles,South East,All Stages,Non-emergency,20,0.8,0.5,1.1,sex_1_region_South East_rtd_non_emergency
2023,0-49,Male,All IMD Quintiles,South East,All Stages,Non-emergency,20,0.7,0.4,1.1,sex_1_region_South East_rtd_non_emergency
allyears,0-49,Male,All IMD Quintiles,South East,All Stages,Non-emergency,120,0.6,0.5,0.7,
2016,0-49,Male,All IMD Quintiles,South East,Early,All Routes,15,0.5,0.3,0.8,sex_1_region_South East_stage_early
2017,0-49,Male,All IMD Quintiles,South East,Early,All Routes,15,0.6,0.3,0.8,sex_1_region_South East_stage_early
2018,0-49,Male,All IMD Quintiles,South East,Early,All Routes,15,0.5,0.2,0.8,sex_1_region_South East_stage_early
2019,0-49,Male,All IMD Quintiles,South East,Early,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5,sex_1_region_South East_stage_early
2020,0-49,Male,All IMD Quintiles,South East,Early,All Routes,15,0.6,0.3,0.9,sex_1_region_South East_stage_early
2021,0-49,Male,All IMD Quintiles,South East,Early,All Routes,SUPPRESSED; n<10,0.2,0.0,0.4,sex_1_region_South East_stage_early
2022,0-49,Male,All IMD Quintiles,South East,Early,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_South East_stage_early
2023,0-49,Male,All IMD Quintiles,South East,Early,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_South East_stage_early
allyears,0-49,Male,All IMD Quintiles,South East,Early,All Routes,60,0.3,0.2,0.4,
2016,0-49,Male,All IMD Quintiles,South East,Advanced,All Routes,10,0.4,0.1,0.6,sex_1_region_South East_stage_advanced
2017,0-49,Male,All IMD Quintiles,South East,Advanced,All Routes,10,0.4,0.2,0.7,sex_1_region_South East_stage_advanced
2018,0-49,Male,All IMD Quintiles,South East,Advanced,All Routes,15,0.5,0.2,0.8,sex_1_region_South East_stage_advanced
2019,0-49,Male,All IMD Quintiles,South East,Advanced,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5,sex_1_region_South East_stage_advanced
2020,0-49,Male,All IMD Quintiles,South East,Advanced,All Routes,10,0.4,0.2,0.7,sex_1_region_South East_stage_advanced
2021,0-49,Male,All IMD Quintiles,South East,Advanced,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5,sex_1_region_South East_stage_advanced
2022,0-49,Male,All IMD Quintiles,South East,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_South East_stage_advanced
2023,0-49,Male,All IMD Quintiles,South East,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_South East_stage_advanced
allyears,0-49,Male,All IMD Quintiles,South East,Advanced,All Routes,45,0.4,0.3,0.5,
2016,0-49,Male,All IMD Quintiles,South West,All Stages,All Routes,15,0.9,0.5,1.4,sex_1_region_South West
2017,0-49,Male,All IMD Quintiles,South West,All Stages,All Routes,20,1.1,0.6,1.6,sex_1_region_South West
2018,0-49,Male,All IMD Quintiles,South West,All Stages,All Routes,30,2.0,1.3,2.6,sex_1_region_South West
2019,0-49,Male,All IMD Quintiles,South West,All Stages,All Routes,15,0.9,0.5,1.4,sex_1_region_South West
2020,0-49,Male,All IMD Quintiles,South West,All Stages,All Routes,10,0.7,0.3,1.2,sex_1_region_South West
2021,0-49,Male,All IMD Quintiles,South West,All Stages,All Routes,20,1.3,0.7,1.8,sex_1_region_South West
2022,0-49,Male,All IMD Quintiles,South West,All Stages,All Routes,15,1.0,0.5,1.5,sex_1_region_South West
2023,0-49,Male,All IMD Quintiles,South West,All Stages,All Routes,25,1.4,0.8,2.0,sex_1_region_South West
allyears,0-49,Male,All IMD Quintiles,South West,All Stages,All Routes,150,1.3,1.1,1.5,
2016,0-49,Male,All IMD Quintiles,South West,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.0,sex_1_region_South West_rtd_emergency
2017,0-49,Male,All IMD Quintiles,South West,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.0,sex_1_region_South West_rtd_emergency
2018,0-49,Male,All IMD Quintiles,South West,All Stages,Emergency,SUPPRESSED; n<10,0.1,-0.1,0.2,sex_1_region_South West_rtd_emergency
2019,0-49,Male,All IMD Quintiles,South West,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_South West_rtd_emergency
2020,0-49,Male,All IMD Quintiles,South West,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_South West_rtd_emergency
2021,0-49,Male,All IMD Quintiles,South West,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_South West_rtd_emergency
2022,0-49,Male,All IMD Quintiles,South West,All Stages,Emergency,SUPPRESSED; n<10,0.1,-0.1,0.2,sex_1_region_South West_rtd_emergency
2023,0-49,Male,All IMD Quintiles,South West,All Stages,Emergency,SUPPRESSED; n<10,0.1,-0.1,0.2,sex_1_region_South West_rtd_emergency
allyears,0-49,Male,All IMD Quintiles,South West,All Stages,Emergency,0,0.0,0.0,0.1,
2016,0-49,Male,All IMD Quintiles,South West,All Stages,Non-emergency,15,0.9,0.4,1.3,sex_1_region_South West_rtd_non_emergency
2017,0-49,Male,All IMD Quintiles,South West,All Stages,Non-emergency,20,1.1,0.6,1.6,sex_1_region_South West_rtd_non_emergency
2018,0-49,Male,All IMD Quintiles,South West,All Stages,Non-emergency,30,1.7,1.1,2.3,sex_1_region_South West_rtd_non_emergency
2019,0-49,Male,All IMD Quintiles,South West,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_South West_rtd_non_emergency
2020,0-49,Male,All IMD Quintiles,South West,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_South West_rtd_non_emergency
2021,0-49,Male,All IMD Quintiles,South West,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_South West_rtd_non_emergency
2022,0-49,Male,All IMD Quintiles,South West,All Stages,Non-emergency,15,0.9,0.4,1.4,sex_1_region_South West_rtd_non_emergency
2023,0-49,Male,All IMD Quintiles,South West,All Stages,Non-emergency,20,1.3,0.8,1.9,sex_1_region_South West_rtd_non_emergency
allyears,0-49,Male,All IMD Quintiles,South West,All Stages,Non-emergency,100,0.8,0.7,1.0,
2016,0-49,Male,All IMD Quintiles,South West,Early,All Routes,10,0.6,0.2,1.0,sex_1_region_South West_stage_early
2017,0-49,Male,All IMD Quintiles,South West,Early,All Routes,SUPPRESSED; n<10,0.4,0.1,0.7,sex_1_region_South West_stage_early
2018,0-49,Male,All IMD Quintiles,South West,Early,All Routes,15,1.0,0.5,1.5,sex_1_region_South West_stage_early
2019,0-49,Male,All IMD Quintiles,South West,Early,All Routes,10,0.6,0.2,1.0,sex_1_region_South West_stage_early
2020,0-49,Male,All IMD Quintiles,South West,Early,All Routes,SUPPRESSED; n<10,0.3,0.0,0.6,sex_1_region_South West_stage_early
2021,0-49,Male,All IMD Quintiles,South West,Early,All Routes,10,0.7,0.3,1.1,sex_1_region_South West_stage_early
2022,0-49,Male,All IMD Quintiles,South West,Early,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_South West_stage_early
2023,0-49,Male,All IMD Quintiles,South West,Early,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_South West_stage_early
allyears,0-49,Male,All IMD Quintiles,South West,Early,All Routes,45,0.3,0.2,0.4,
2016,0-49,Male,All IMD Quintiles,South West,Advanced,All Routes,SUPPRESSED; n<10,0.2,0.0,0.4,sex_1_region_South West_stage_advanced
2017,0-49,Male,All IMD Quintiles,South West,Advanced,All Routes,SUPPRESSED; n<10,0.5,0.1,0.8,sex_1_region_South West_stage_advanced
2018,0-49,Male,All IMD Quintiles,South West,Advanced,All Routes,10,0.6,0.2,1.0,sex_1_region_South West_stage_advanced
2019,0-49,Male,All IMD Quintiles,South West,Advanced,All Routes,SUPPRESSED; n<10,0.1,0.0,0.3,sex_1_region_South West_stage_advanced
2020,0-49,Male,All IMD Quintiles,South West,Advanced,All Routes,SUPPRESSED; n<10,0.2,0.0,0.4,sex_1_region_South West_stage_advanced
2021,0-49,Male,All IMD Quintiles,South West,Advanced,All Routes,SUPPRESSED; n<10,0.4,0.1,0.7,sex_1_region_South West_stage_advanced
2022,0-49,Male,All IMD Quintiles,South West,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_South West_stage_advanced
2023,0-49,Male,All IMD Quintiles,South West,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,sex_1_region_South West_stage_advanced
allyears,0-49,Male,All IMD Quintiles,South West,Advanced,All Routes,10,0.5,0.4,0.7,
2016,0-49,Male,All IMD Quintiles,West Midlands,All Stages,All Routes,20,1.1,0.6,1.6,sex_1_region_West Midlands
2017,0-49,Male,All IMD Quintiles,West Midlands,All Stages,All Routes,20,1.2,0.7,1.7,sex_1_region_West Midlands
2018,0-49,Male,All IMD Quintiles,West Midlands,All Stages,All Routes,20,1.2,0.7,1.7,sex_1_region_West Midlands
2019,0-49,Male,All IMD Quintiles,West Midlands,All Stages,All Routes,15,0.8,0.4,1.2,sex_1_region_West Midlands
2020,0-49,Male,All IMD Quintiles,West Midlands,All Stages,All Routes,20,1.0,0.6,1.5,sex_1_region_West Midlands
2021,0-49,Male,All IMD Quintiles,West Midlands,All Stages,All Routes,20,1.0,0.5,1.4,sex_1_region_West Midlands
2022,0-49,Male,All IMD Quintiles,West Midlands,All Stages,All Routes,20,1.1,0.6,1.5,sex_1_region_West Midlands
2023,0-49,Male,All IMD Quintiles,West Midlands,All Stages,All Routes,20,1.2,0.7,1.7,sex_1_region_West Midlands
allyears,0-49,Male,All IMD Quintiles,West Midlands,All Stages,All Routes,155,1.2,1.0,1.4,
2016,0-49,Male,All IMD Quintiles,West Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.3,sex_1_region_West Midlands_rtd_emergency
2017,0-49,Male,All IMD Quintiles,West Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.3,sex_1_region_West Midlands_rtd_emergency
2018,0-49,Male,All IMD Quintiles,West Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.3,sex_1_region_West Midlands_rtd_emergency
2019,0-49,Male,All IMD Quintiles,West Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_West Midlands_rtd_emergency
2020,0-49,Male,All IMD Quintiles,West Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_West Midlands_rtd_emergency
2021,0-49,Male,All IMD Quintiles,West Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,sex_1_region_West Midlands_rtd_emergency
2022,0-49,Male,All IMD Quintiles,West Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.1,-0.1,0.2,sex_1_region_West Midlands_rtd_emergency
2023,0-49,Male,All IMD Quintiles,West Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.2,0.0,0.4,sex_1_region_West Midlands_rtd_emergency
